9065 0.0145781
0.414981 0.223068 0.372509
0.455201 0.178027 0.430117
0.329454 0.271337 0.344317
0.444318 0.183996 0.434664
0.459218 0.174365 0.464827
0.451568 0.177404 0.499817
0.183047 0.360601 0.538978
0.253006 0.30501 0.362427
0.385906 0.222273 0.378063
0.228449 0.359448 0.660277
0.19128 0.343315 0.485451
0.230458 0.320209 0.370322
0.372456 0.221938 0.37293
0.424453 0.195625 0.56631
0.193136 0.365755 0.585611
0.233303 0.313676 0.378584
0.356013 0.271195 0.337957
0.290746 0.29119 0.313965
0.457531 0.183099 0.422032
0.202569 0.329351 0.439596
0.217655 0.32595 0.390077
0.24491 0.311765 0.352034
0.351741 0.245945 0.34141
0.430598 0.200376 0.545337
0.192046 0.342654 0.447106
0.343106 0.268376 0.3442
0.418862 0.210997 0.391899
0.433704 0.202526 0.535761
0.309514 0.284802 0.314087
0.362669 0.23092 0.358959
0.282566 0.263472 0.376868
0.297132 0.268821 0.353729
0.382724 0.234053 0.364841
0.41337 0.207118 0.538329
0.204927 0.324183 0.499362
0.298603 0.274905 0.339532
0.359333 0.243923 0.350277
0.394409 0.230672 0.357638
0.452223 0.182898 0.416714
0.470435 0.178937 0.448782
0.459353 0.315629 0.479197
0.202016 0.329116 0.465536
0.54055 0.329632 0.197151
0.192578 0.360467 0.567682
0.390507 0.236921 0.355315
0.43519 0.179415 0.416246
0.433581 0.189033 0.429775
0.474002 0.176237 0.411938
0.454613 0.19794 0.508582
0.470963 0.199387 0.470136
0.522939 0.194547 0.394093
0.534052 0.199608 0.401013
0.494353 0.376151 0.358213
0.231418 0.30017 0.421853
0.26386 0.286314 0.37104
0.249187 0.294811 0.384841
0.292174 0.285074 0.33
0.433016 0.19134 0.405786
0.454839 0.174909 0.430976
0.480845 0.176648 0.429512
0.471963 0.172245 0.453912
0.510224 0.183808 0.399097
0.481982 0.168514 0.439933
0.209896 0.363532 0.636005
0.28142 0.277041 0.354242
0.287203 0.281344 0.341866
0.325236 0.27367 0.343298
0.390099 0.241176 0.336862
0.432112 0.179401 0.42908
0.466767 0.17372 0.435691
0.478528 0.172159 0.445796
0.464049 0.169182 0.47543
0.418044 0.204707 0.595182
0.432576 0.193266 0.58858
0.462538 0.173778 0.49551
0.311469 0.333064 0.733666
0.249498 0.35373 0.68278
0.194579 0.337945 0.477972
0.278524 0.283758 0.348564
0.353213 0.249214 0.353017
0.428079 0.210588 0.386523
0.435803 0.1793 0.449781
0.443414 0.176577 0.493148
0.467116 0.168397 0.446378
0.451998 0.165905 0.493033
0.46307 0.166731 0.403248
0.454864 0.163592 0.501086
0.199487 0.36454 0.603148
0.184694 0.354626 0.505401
0.194208 0.36122 0.575775
0.25814 0.298112 0.365987
0.371137 0.254694 0.339527
0.38975 0.225676 0.357168
0.445059 0.175242 0.461992
0.44101 0.176623 0.491276
0.44029 0.16968 0.501697
0.445239 0.159609 0.479012
0.560085 0.244049 0.329488
0.18744 0.351748 0.516813
0.222135 0.31489 0.40934
0.289131 0.292698 0.339331
0.299079 0.295662 0.326302
0.317601 0.2874 0.333551
0.429928 0.170362 0.46226
0.454293 0.173382 0.46603
0.436199 0.189561 0.53444
0.426973 0.18912 0.565135
0.437864 0.165555 0.515904
0.550252 0.285755 0.343363
0.193815 0.339027 0.477825
0.211772 0.330342 0.420514
0.247959 0.309547 0.369306
0.306754 0.294034 0.340764
0.337152 0.286889 0.341566
0.431483 0.179332 0.454916
0.429886 0.203336 0.555143
0.425497 0.181215 0.529872
0.460874 0.168276 0.457793
0.449159 0.488786 0.351285
0.190329 0.350277 0.515758
0.188776 0.347514 0.472998
0.20123 0.336766 0.426128
0.207775 0.329836 0.410379
0.260573 0.306664 0.333527
0.358124 0.274089 0.337127
0.358774 0.224131 0.370132
0.437286 0.171813 0.469507
0.461128 0.169148 0.448987
0.507947 0.244034 0.312319
0.532523 0.263949 0.355948
0.479369 0.335312 0.331144
0.245446 0.309768 0.365679
0.271821 0.301302 0.337562
0.361359 0.281336 0.335754
0.417426 0.182086 0.438841
0.438331 0.172029 0.495341
0.478799 0.290808 0.363709
0.466673 0.222621 0.337924
0.333599 0.292041 0.341752
0.430029 0.177266 0.498429
0.393624 0.219329 0.369131
0.25241 0.267882 0.451429
0.300373 0.246313 0.383011
0.302278 0.249408 0.375671
0.325 0.260478 0.356634
0.412799 0.203577 0.407468
0.423097 0.198842 0.441671
0.386646 0.199173 0.551518
0.252168 0.274432 0.426983
0.258931 0.272889 0.409814
0.310596 0.252629 0.365759
0.358594 0.235859 0.375321
0.404084 0.222259 0.386107
0.449945 0.185536 0.454743
0.418813 0.207792 0.528961
0.426686 0.205648 0.52033
0.438781 0.200337 0.494688
0.452704 0.199411 0.466978
0.546914 0.273429 0.251212
0.200588 0.339928 0.541297
0.270535 0.26787 0.3864
0.28981 0.261177 0.371599
0.306238 0.268977 0.345258
0.374878 0.232008 0.374627
0.403333 0.230608 0.363114
0.45532 0.188394 0.422167
0.460517 0.179016 0.474703
0.452612 0.200439 0.490882
0.481266 0.196718 0.445676
0.49815 0.212835 0.448725
0.492603 0.19752 0.497509
0.228967 0.302147 0.441683
0.288653 0.260731 0.381399
0.296533 0.265762 0.366204
0.310414 0.27188 0.345915
0.396192 0.232794 0.366811
0.418734 0.191688 0.427185
0.449338 0.181988 0.403555
0.476758 0.177434 0.409595
0.453394 0.201974 0.501636
0.496408 0.186437 0.428931
0.475803 0.212143 0.441924
0.511335 0.192073 0.446304
0.699019 0.218759 0.439067
0.225251 0.305338 0.442749
0.274531 0.271664 0.381431
0.301258 0.279471 0.330418
0.351015 0.256025 0.362167
0.372227 0.242606 0.35026
0.460266 0.201519 0.366226
0.452883 0.177529 0.3955
0.474184 0.178621 0.40576
0.508055 0.187098 0.395325
0.490113 0.180642 0.440886
0.521179 0.207729 0.406337
0.52791 0.204878 0.415533
0.501235 0.182256 0.443988
0.214853 0.359603 0.620659
0.202674 0.352224 0.571903
0.2567 0.288195 0.384125
0.298047 0.281285 0.330813
0.339681 0.264144 0.357119
0.372567 0.245923 0.34623
0.453528 0.226764 0.354496
0.450391 0.172814 0.429065
0.483012 0.184597 0.37259
0.491204 0.17434 0.413334
0.526506 0.192839 0.381823
0.53662 0.194966 0.37786
0.537846 0.202094 0.394411
0.462943 0.188338 0.512492
0.38816 0.296857 0.676263
0.22753 0.304471 0.426463
0.274157 0.278824 0.373702
0.29129 0.277844 0.346278
0.332919 0.270234 0.35234
0.434802 0.249938 0.33262
0.423304 0.237472 0.348795
0.458685 0.174299 0.391337
0.505105 0.190754 0.356588
0.502779 0.181618 0.378392
0.476498 0.165556 0.432544
0.469473 0.165038 0.470794
0.489988 0.177449 0.454079
0.435813 0.202856 0.565054
0.452998 0.188587 0.575551
0.199953 0.34283 0.515114
0.196821 0.343603 0.518569
0.215742 0.318077 0.431472
0.291355 0.279838 0.357948
0.364869 0.259607 0.346302
0.426612 0.251381 0.325792
0.418859 0.177633 0.43901
0.435776 0.171679 0.434624
0.467732 0.202507 0.344414
0.472128 0.19403 0.347713
0.462477 0.192303 0.348208
0.482969 0.163379 0.441271
0.458017 0.189166 0.349616
0.475358 0.156676 0.471167
0.211663 0.35268 0.59144
0.195577 0.358655 0.570445
0.245633 0.30368 0.391679
0.241033 0.305739 0.38248
0.350704 0.26914 0.3521
0.417721 0.253608 0.326153
0.428925 0.240191 0.343804
0.457595 0.19127 0.37359
0.459361 0.188335 0.365277
0.426845 0.180219 0.53191
0.486201 0.220807 0.322891
0.46048 0.208337 0.337325
0.512723 0.20258 0.334674
0.450993 0.179912 0.558054
0.197106 0.358265 0.553577
0.203245 0.33292 0.486224
0.233303 0.30875 0.40663
0.260055 0.299279 0.370722
0.298114 0.291485 0.343975
0.351312 0.272612 0.345934
0.4069 0.247161 0.327989
0.478586 0.22106 0.332892
0.466094 0.20362 0.345387
0.466534 0.169602 0.446876
0.449807 0.164699 0.490787
0.449401 0.160154 0.501557
0.574789 0.241065 0.340776
0.584189 0.300436 0.405397
0.430664 0.214266 0.515104
0.20266 0.341908 0.461645
0.206642 0.335228 0.445047
0.268007 0.299372 0.371213
0.260295 0.303533 0.365172
0.381796 0.259398 0.331405
0.430749 0.222974 0.362069
0.47857 0.23356 0.332072
0.467308 0.173626 0.44379
0.460365 0.204138 0.345097
0.561815 0.257966 0.359685
0.553031 0.300291 0.370036
0.567515 0.295987 0.383939
0.219831 0.333921 0.452915
0.225826 0.326195 0.410163
0.269323 0.303625 0.363993
0.276246 0.301719 0.361284
0.316731 0.295922 0.343129
0.45101 0.224333 0.354532
0.455546 0.21746 0.348309
0.434838 0.170721 0.438867
0.53227 0.234044 0.313623
0.557974 0.247511 0.337304
0.490993 0.380714 0.248509
0.57248 0.271094 0.334915
