9065 0.0145781
0.541949 0.301118 0.366684
0.514695 0.282396 0.339971
0.40579 0.23974 0.626978
0.509318 0.273097 0.338439
0.551721 0.258827 0.674348
0.567573 0.284209 0.643334
0.321269 0.248458 0.658864
0.354116 0.240048 0.666392
0.508824 0.256399 0.374471
0.411152 0.274904 0.744318
0.280946 0.240578 0.572175
0.2905 0.251894 0.429711
0.51428 0.263457 0.370258
0.518833 0.208229 0.396201
0.448045 0.279089 0.757595
0.332471 0.212817 0.56239
0.475126 0.249255 0.693695
0.365569 0.182605 0.547498
0.533031 0.288354 0.534874
0.286417 0.245542 0.454099
0.283749 0.250018 0.448161
0.300273 0.219275 0.464392
0.494221 0.286023 0.447374
0.512203 0.208514 0.408418
0.289638 0.237814 0.5826
0.379923 0.226846 0.582819
0.547163 0.297861 0.378649
0.525028 0.213963 0.413659
0.328571 0.27898 0.294584
0.477203 0.245363 0.370986
0.374167 0.239543 0.595192
0.447228 0.253877 0.539909
0.473398 0.259341 0.344812
0.570684 0.265429 0.473382
0.28949 0.24948 0.476827
0.43655 0.256276 0.576496
0.473245 0.277636 0.518725
0.470452 0.253983 0.348135
0.538255 0.286205 0.567485
0.540898 0.299001 0.398762
0.458033 0.317365 0.228894
0.269241 0.241453 0.483583
0.372403 0.189175 0.405429
0.308809 0.241648 0.634402
0.492127 0.291769 0.413663
0.506218 0.253175 0.343228
0.50921 0.278251 0.335296
0.530684 0.274998 0.627268
0.520216 0.237621 0.447035
0.509062 0.267922 0.596916
0.459589 0.272989 0.743486
0.501463 0.209941 0.679266
0.415112 0.232978 0.290418
0.32939 0.224777 0.473812
0.365481 0.23991 0.616141
0.3706 0.238987 0.638078
0.41544 0.256633 0.723661
0.552866 0.295624 0.459094
0.506288 0.257542 0.344902
0.523593 0.285288 0.537524
0.548889 0.23975 0.418765
0.444999 0.272288 0.720236
0.538128 0.240992 0.375679
0.395404 0.266302 0.738451
0.359249 0.240115 0.617084
0.397331 0.250982 0.650373
0.421407 0.245469 0.619582
0.47392 0.268477 0.52301
0.523645 0.266288 0.366352
0.519133 0.270171 0.346778
