9065 0.0145781
0.524588 0.321744 0.327246
0.494308 0.294651 0.309429
0.45677 0.22944 0.640724
0.486631 0.28198 0.308955
0.606605 0.24064 0.624182
0.613354 0.270853 0.578399
0.328511 0.226171 0.63038
0.378231 0.22535 0.649211
0.488281 0.260405 0.338084
0.399709 0.227542 0.693186
0.301873 0.225118 0.579523
0.285436 0.257733 0.431946
0.494663 0.269774 0.33176
0.486023 0.204269 0.375739
0.487539 0.240368 0.725006
0.36659 0.204221 0.588228
0.545476 0.23382 0.666059
0.391728 0.179281 0.57578
0.54467 0.293858 0.467286
0.281638 0.24468 0.456039
0.278089 0.250808 0.448524
0.30222 0.217041 0.487357
0.504419 0.30019 0.403303
0.480888 0.206037 0.385116
0.31441 0.222356 0.579062
0.421471 0.220887 0.603698
0.530449 0.316988 0.3341
0.49798 0.211161 0.381282
0.330417 0.277608 0.303851
0.45641 0.254236 0.350841
0.409941 0.231765 0.607319
0.485395 0.26366 0.533477
0.4532 0.270663 0.328838
0.568398 0.269911 0.404879
0.282928 0.247018 0.474413
0.475127 0.253866 0.575994
0.500905 0.286365 0.488821
0.449279 0.264531 0.334133
0.560589 0.282272 0.499954
0.527055 0.318267 0.351767
0.433541 0.330085 0.236228
0.270057 0.239824 0.506893
0.346082 0.194686 0.441143
0.312621 0.226268 0.610822
0.496757 0.308973 0.37824
0.47871 0.255035 0.319431
0.487446 0.288908 0.306634
0.571261 0.264354 0.565796
0.509106 0.239496 0.39312
0.54274 0.265564 0.539434
0.512915 0.247071 0.717947
0.555858 0.190403 0.628869
0.378585 0.226938 0.32185
0.334788 0.223939 0.50017
0.39968 0.227338 0.620295
0.410041 0.224526 0.640147
0.445312 0.229793 0.706903
0.546161 0.309531 0.394698
0.48039 0.260958 0.318345
0.537986 0.292036 0.473678
0.533436 0.238724 0.366326
0.489612 0.246846 0.699667
0.512866 0.239008 0.338816
0.383413 0.228991 0.680673
0.390325 0.227905 0.617856
0.440594 0.233079 0.653567
0.470426 0.239532 0.628173
0.503778 0.279364 0.495442
0.502934 0.273485 0.326294
0.496168 0.278029 0.312843
0.513487 0.245431 0.330991
0.602436 0.231707 0.667458
0.432968 0.199906 0.440173
0.51116 0.245825 0.417031
0.635542 0.260685 0.698386
0.576511 0.255867 0.70987
0.532555 0.249304 0.71936
0.279477 0.236061 0.520215
0.384089 0.221216 0.632765
0.502797 0.270557 0.472336
0.573647 0.264728 0.56671
0.514395 0.279459 0.327798
0.62756 0.265974 0.611561
0.518338 0.242977 0.346033
0.614655 0.262756 0.699502
0.593585 0.238562 0.689035
0.64682 0.26232 0.658385
0.437316 0.239082 0.720212
0.315767 0.222017 0.600849
0.329978 0.220285 0.600423
0.405981 0.227461 0.648011
0.448997 0.249737 0.494696
0.467605 0.249678 0.362306
0.61899 0.24729 0.649805
0.633463 0.264384 0.62435
0.607594 0.274299 0.559961
0.59331 0.222997 0.642622
0.564481 0.157428 0.497814
0.428421 0.232467 0.711374
0.351279 0.213692 0.54418
0.554463 0.209601 0.683615
0.532163 0.193492 0.655638
0.553561 0.202227 0.641332
0.613613 0.260305 0.682473
0.631911 0.260181 0.68429
0.560023 0.250092 0.375048
0.522851 0.213744 0.376403
0.609083 0.28681 0.481126
0.356931 0.194831 0.511771
0.282555 0.232301 0.530615
0.297085 0.253111 0.437593
0.385014 0.217139 0.646405
0.557353 0.209208 0.661153
0.548398 0.2074 0.666649
0.520522 0.264395 0.33134
0.449569 0.206836 0.405313
0.571493 0.301982 0.391053
0.62302 0.256031 0.661065
0.434446 0.177546 0.599797
0.326139 0.215292 0.586754
0.312222 0.224004 0.576838
0.274962 0.236398 0.531869
0.283814 0.244782 0.443615
0.550542 0.198176 0.665306
0.549775 0.199083 0.63624
0.490487 0.282115 0.319638
0.622941 0.261975 0.704193
0.52484 0.243929 0.353235
0.426848 0.259626 0.481092
0.496725 0.157269 0.442614
0.366427 0.218032 0.603569
0.377103 0.209895 0.638512
0.525534 0.232766 0.718739
0.492962 0.20308 0.681441
0.5217 0.313391 0.346978
0.635604 0.263584 0.635937
0.394061 0.170552 0.50762
0.472028 0.290742 0.436554
0.53487 0.202869 0.655815
0.58781 0.284574 0.499387
0.510662 0.285716 0.347593
0.326424 0.237843 0.474594
0.468437 0.268121 0.421871
0.460159 0.258467 0.433554
0.420335 0.240012 0.492012
0.46933 0.247479 0.336509
0.511364 0.318682 0.347796
0.605698 0.256209 0.626137
0.319174 0.237367 0.469592
0.362054 0.220558 0.541729
0.441036 0.240562 0.497598
0.450995 0.251426 0.356809
0.472329 0.256544 0.315829
0.517695 0.312705 0.331674
0.568417 0.268388 0.406011
0.555278 0.248291 0.38115
0.496125 0.237791 0.383174
0.552308 0.263724 0.582936
0.407124 0.18146 0.581058
0.287648 0.244487 0.468788
0.398911 0.221223 0.632351
0.436684 0.2423 0.590216
0.476254 0.251428 0.550403
0.447081 0.245048 0.361821
0.488518 0.312618 0.35705
0.5632 0.277455 0.53344
0.557544 0.255457 0.461685
0.45861 0.230233 0.399361
0.553299 0.26146 0.629427
0.509194 0.194978 0.576067
0.534039 0.269828 0.498705
0.31147 0.254328 0.443021
0.444135 0.246476 0.552895
0.475875 0.256101 0.532613
0.467545 0.24002 0.613528
0.483151 0.30853 0.357593
0.48265 0.263036 0.323521
0.554307 0.261592 0.496005
0.577363 0.259718 0.604388
0.444934 0.219925 0.420925
0.567508 0.262939 0.631252
0.555198 0.248107 0.673785
0.569616 0.256995 0.668359
0.653342 0.257609 0.47613
0.296609 0.245198 0.450165
0.415454 0.23684 0.603096
0.469553 0.246965 0.633782
0.475569 0.259554 0.436269
0.495445 0.278494 0.497938
0.418991 0.235103 0.679011
0.57107 0.238139 0.587791
0.584023 0.257225 0.624911
0.494819 0.243802 0.712144
0.564563 0.273192 0.556673
0.512832 0.200367 0.616969
0.497527 0.195812 0.575186
0.583751 0.258686 0.650059
0.345912 0.226671 0.646829
0.298051 0.241675 0.515886
0.412629 0.229154 0.624766
0.467001 0.241425 0.662926
0.41573 0.241452 0.493031
0.495038 0.271839 0.438006
0.42765 0.270025 0.475123
0.489055 0.258489 0.325779
0.324963 0.221843 0.57836
0.572362 0.265691 0.58393
0.497488 0.241978 0.715659
0.51976 0.244287 0.715638
0.508494 0.194031 0.602649
0.57906 0.279154 0.459372
0.535173 0.225646 0.342949
0.319313 0.237666 0.465913
