9065 0.0145781
0.515592 0.264712 0.457492
0.476028 0.236586 0.432477
0.395711 0.298973 0.717641
0.46647 0.227275 0.428791
0.565567 0.272518 0.700446
0.579764 0.297664 0.666505
0.280428 0.340213 0.720564
0.322552 0.328461 0.731317
0.467441 0.222259 0.454633
0.342901 0.336381 0.766111
0.255162 0.329523 0.681742
0.245652 0.301865 0.565095
0.475207 0.226409 0.450209
0.46702 0.183199 0.475717
0.42659 0.319778 0.783436
0.313911 0.277044 0.675296
0.487802 0.281047 0.734853
0.343781 0.232614 0.657649
0.517304 0.296814 0.582061
0.242513 0.296182 0.584021
0.239957 0.30105 0.579684
0.261418 0.268712 0.598795
0.474184 0.286179 0.529263
0.460245 0.188293 0.486058
0.267072 0.321554 0.680014
0.364363 0.289712 0.688986
0.52298 0.263883 0.463142
0.479084 0.190875 0.48375
0.271764 0.251693 0.440705
0.427133 0.223238 0.466237
0.352534 0.309643 0.696356
0.432043 0.300538 0.638107
0.42214 0.229005 0.448127
0.555813 0.250889 0.521091
0.243645 0.309648 0.600853
0.417067 0.306898 0.671367
0.458912 0.307805 0.599143
0.417864 0.226168 0.451849
0.529318 0.296344 0.608663
0.515034 0.272156 0.481828
0.392869 0.235933 0.356662
0.227838 0.319507 0.625448
0.311605 0.210782 0.539765
0.267718 0.338025 0.705467
0.469145 0.280225 0.506521
0.457578 0.210274 0.430282
0.467432 0.231701 0.428301
0.52956 0.291928 0.659209
0.486784 0.221699 0.504879
0.499357 0.29235 0.640362
0.452097 0.312443 0.774103
0.511272 0.224586 0.700717
0.343882 0.198522 0.424561
0.290688 0.27664 0.609694
0.341674 0.311275 0.706952
0.351551 0.308914 0.721129
0.386115 0.317628 0.768537
0.53335 0.281223 0.520661
0.459242 0.214745 0.431903
0.505958 0.299321 0.587854
0.519559 0.209989 0.47595
0.426774 0.323395 0.76271
0.498838 0.201163 0.447488
0.32821 0.342446 0.76044
0.333078 0.315916 0.706276
0.380375 0.314994 0.730932
0.409002 0.305166 0.708982
0.460465 0.301437 0.605109
0.486345 0.225819 0.444584
0.47883 0.224591 0.431383
0.500333 0.203851 0.440911
0.556864 0.267114 0.732422
0.402971 0.203442 0.539763
0.484777 0.236378 0.530234
0.600101 0.296764 0.754097
0.52418 0.303588 0.768077
0.473162 0.310723 0.775039
0.239554 0.317466 0.634388
0.327665 0.313305 0.71591
0.462809 0.284358 0.585487
0.532565 0.292282 0.659828
0.501601 0.230668 0.447683
0.593687 0.294648 0.691269
0.504138 0.207097 0.456455
0.574011 0.300447 0.757808
0.543524 0.277176 0.748138
0.616448 0.294343 0.724595
0.376448 0.340345 0.785695
0.268741 0.3281 0.698474
0.280018 0.321699 0.695759
0.347889 0.316882 0.728741
0.400753 0.278991 0.602081
0.44042 0.222741 0.476652
0.579164 0.280914 0.719941
0.600912 0.294998 0.701121
0.575874 0.297797 0.65235
0.54824 0.257115 0.71367
0.54629 0.163105 0.578625
0.373721 0.333942 0.78089
0.303543 0.27761 0.643109
0.498571 0.254123 0.746729
0.479087 0.235653 0.722188
0.504225 0.239876 0.711712
0.572327 0.298266 0.745195
0.59654 0.29768 0.744554
0.550137 0.22279 0.486361
0.507484 0.190559 0.478594
0.589727 0.291825 0.591346
0.315877 0.2361 0.605468
0.240594 0.318712 0.643962
0.254503 0.296072 0.568647
0.328711 0.309768 0.723988
0.504644 0.249878 0.728294
0.493913 0.250199 0.732449
0.508302 0.219831 0.447215
0.423416 0.197713 0.507341
0.566067 0.274973 0.514246
0.584572 0.290029 0.728676
0.38321 0.228169 0.676874
0.276293 0.309491 0.682871
0.265332 0.323825 0.678732
0.233435 0.325462 0.644485
0.243425 0.289151 0.572106
0.497896 0.239372 0.731015
0.501228 0.236204 0.707284
0.470102 0.23171 0.440503
0.584907 0.299085 0.7604
0.51084 0.210279 0.464216
0.376197 0.290031 0.594381
0.478276 0.154199 0.528143
0.312236 0.304497 0.693261
0.321416 0.298083 0.716196
0.463968 0.291535 0.77533
0.43182 0.259979 0.743856
0.507834 0.266729 0.476374
0.602814 0.296552 0.709221
0.358185 0.197905 0.595143
0.428403 0.294863 0.558567
0.480648 0.245869 0.722951
0.562571 0.29531 0.606523
0.492544 0.245167 0.471201
0.282623 0.28617 0.593448
0.430136 0.26617 0.540693
0.420505 0.262195 0.549614
0.372292 0.272308 0.599221
0.444147 0.211099 0.447946
0.492723 0.271694 0.477791
0.564597 0.288784 0.703212
0.27628 0.284647 0.589304
0.312803 0.283409 0.642887
0.393732 0.270773 0.60272
0.420616 0.223488 0.471688
0.449254 0.210325 0.42766
0.504986 0.260789 0.460911
0.555519 0.249908 0.521819
0.543345 0.22322 0.492561
0.473255 0.217407 0.494485
0.503859 0.299867 0.673832
0.357817 0.234564 0.663069
0.247938 0.302206 0.594486
0.341098 0.306709 0.714793
0.378526 0.309251 0.682528
0.422039 0.2947 0.649588
0.416844 0.219767 0.475084
0.461896 0.274699 0.486034
0.525283 0.300997 0.634908
0.532205 0.256653 0.572397
0.429706 0.218455 0.508161
0.499455 0.307553 0.709881
0.466028 0.226216 0.657318
0.49605 0.286882 0.607186
0.266829 0.295857 0.573334
0.388839 0.299942 0.652971
0.423421 0.293907 0.636432
0.406979 0.303295 0.69795
0.454653 0.271473 0.486623
0.461482 0.218705 0.438652
0.521601 0.274013 0.603276
0.532562 0.293319 0.688652
0.413762 0.215988 0.526493
0.516272 0.304463 0.710511
0.497822 0.29617 0.741986
0.515887 0.301077 0.737529
0.643324 0.261022 0.577917
0.255085 0.291172 0.577242
0.357749 0.314143 0.693988
0.407825 0.317316 0.714735
0.437772 0.261776 0.551918
0.450947 0.298772 0.607585
0.363343 0.331296 0.751831
0.527458 0.268659 0.673546
0.537056 0.293546 0.704166
0.43126 0.317441 0.771969
0.522372 0.301017 0.653477
0.46177 0.240457 0.69112
0.452969 0.22869 0.656502
0.534622 0.299429 0.722509
0.29415 0.340965 0.733947
0.254466 0.32143 0.632168
0.354238 0.308819 0.709284
0.404867 0.316466 0.737143
0.366919 0.275724 0.601065
0.458776 0.272562 0.555808
0.376023 0.299739 0.591218
0.470266 0.215053 0.439647
0.276381 0.316838 0.678514
0.528666 0.297477 0.673342
0.43368 0.313821 0.774515
0.458668 0.30664 0.772775
0.460577 0.230881 0.678577
0.560425 0.278078 0.572555
0.525148 0.190054 0.446119
0.27649 0.283128 0.586001
0.372736 0.316325 0.698421
0.396679 0.314321 0.71085
0.368277 0.295268 0.722539
0.415843 0.274172 0.579969
0.368108 0.299157 0.614949
0.543635 0.255042 0.736649
0.259973 0.301701 0.628838
0.369341 0.327182 0.762981
0.487169 0.213948 0.433353
0.53884 0.240672 0.699322
0.53389 0.267646 0.504765
0.426173 0.204016 0.51361
0.464556 0.211981 0.629202
0.257658 0.328009 0.661168
0.258013 0.321547 0.663632
0.279597 0.303831 0.56847
0.403976 0.31329 0.706078
0.387506 0.289899 0.641701
0.405594 0.276453 0.58615
0.519577 0.232043 0.45662
0.511606 0.264067 0.478593
0.492825 0.302378 0.594363
0.515155 0.302734 0.671488
0.535873 0.275124 0.51401
0.534446 0.257714 0.569723
0.531925 0.276512 0.547729
0.490292 0.2025 0.666713
0.261849 0.329432 0.665103
0.258317 0.336107 0.69265
0.350432 0.29828 0.687194
0.320471 0.286822 0.689903
0.375643 0.293694 0.702352
0.420202 0.289073 0.615052
0.403625 0.288911 0.59463
0.534507 0.301034 0.707359
0.526722 0.280355 0.633725
0.567949 0.279391 0.517767
0.451281 0.283455 0.540247
0.507253 0.26821 0.466272
0.290698 0.31884 0.628869
0.48677 0.229495 0.600097
0.256495 0.327582 0.675317
0.2421 0.329151 0.662789
0.333063 0.291316 0.666135
0.357859 0.317119 0.729646
0.474544 0.290214 0.748194
0.421068 0.303558 0.691967
0.410776 0.266374 0.568007
0.412192 0.294861 0.564103
0.494597 0.303891 0.636314
0.499537 0.206422 0.45022
0.564384 0.296654 0.736208
0.623834 0.294585 0.713965
0.600394 0.17598 0.583037
0.496213 0.220488 0.310449
0.449627 0.209896 0.491839
0.235114 0.320962 0.625032
0.238368 0.306941 0.590554
0.358006 0.317573 0.72636
0.341334 0.31454 0.727667
0.505177 0.244496 0.729675
0.362453 0.324763 0.687363
0.340355 0.295968 0.62937
0.492277 0.219825 0.433493
0.509646 0.296627 0.569395
0.61011 0.180166 0.415439
0.386477 0.180113 0.449737
0.495327 0.182112 0.356711
0.293135 0.304951 0.577654
0.27966 0.301382 0.565139
0.355647 0.320637 0.739793
0.362684 0.319359 0.749451
0.502678 0.244023 0.715073
0.351787 0.308366 0.589377
0.37956 0.315281 0.629405
0.51379 0.241891 0.460922
0.276898 0.285302 0.638527
0.63977 0.18744 0.432583
0.376438 0.255785 0.703249
0.329613 0.235506 0.626843
0.267578 0.285422 0.575881
0.296742 0.275475 0.626429
0.491623 0.27102 0.753727
0.488617 0.225472 0.712915
0.397363 0.296199 0.636956
0.366076 0.294479 0.618487
0.472098 0.293027 0.756191
0.507833 0.151581 0.528287
0.421276 0.24127 0.717153
0.329324 0.329535 0.73571
0.462978 0.261263 0.738326
0.5211 0.254811 0.463278
0.381057 0.298291 0.643095
0.467899 0.155479 0.550865
0.304263 0.223463 0.576885
0.297443 0.279589 0.668899
0.306138 0.317822 0.626741
0.477566 0.275887 0.491811
0.473631 0.262362 0.458064
0.54702 0.291547 0.599328
0.541722 0.260314 0.682781
0.412554 0.239567 0.566953
0.436124 0.281271 0.550317
0.484299 0.279802 0.511285
0.466289 0.246115 0.436815
0.475649 0.248467 0.436054
0.566968 0.290631 0.585355
0.548029 0.272183 0.686292
0.497042 0.301433 0.598378
0.483989 0.238836 0.57573
0.602321 0.287107 0.714941
0.296802 0.285381 0.598855
0.467858 0.306327 0.587363
0.473495 0.285464 0.512989
0.477521 0.262095 0.453564
0.463623 0.233609 0.429167
0.560035 0.255222 0.50842
0.502299 0.303023 0.620129
0.518972 0.233581 0.5347
0.510772 0.276259 0.681523
0.491868 0.280616 0.60567
0.563114 0.252882 0.70245
0.248025 0.294794 0.596088
0.262029 0.299229 0.583415
0.310393 0.285702 0.611617
0.392927 0.279194 0.576275
0.461817 0.268545 0.466155
0.443349 0.219357 0.426218
0.516853 0.300464 0.621103
0.499216 0.293706 0.552911
0.515121 0.30399 0.655864
0.470711 0.217944 0.494388
0.509458 0.282325 0.74116
0.513654 0.277423 0.691124
0.521267 0.277858 0.522533
0.482292 0.237738 0.560624
0.526039 0.30337 0.744474
0.252831 0.287946 0.587731
0.351337 0.287007 0.603764
0.363758 0.269427 0.59094
0.462699 0.26689 0.452385
0.422779 0.2187 0.441939
0.478543 0.312974 0.748463
0.53371 0.290867 0.680288
0.517335 0.303674 0.6759
0.490073 0.298258 0.751624
0.467666 0.218541 0.662549
0.521727 0.267853 0.712856
0.529284 0.29303 0.720985
0.526334 0.272793 0.55011
0.477232 0.249055 0.438165
0.23908 0.315041 0.612047
0.277853 0.309566 0.589868
0.38172 0.283048 0.597855
0.459386 0.281005 0.579501
0.440787 0.293653 0.576912
0.453101 0.213469 0.423427
0.529461 0.287401 0.589699
0.492071 0.309605 0.743409
0.427263 0.325239 0.773562
0.479463 0.312798 0.742488
0.51991 0.265688 0.735962
0.535849 0.286106 0.749634
0.543288 0.26266 0.738112
0.503614 0.303497 0.641715
0.563871 0.266259 0.467361
0.24486 0.29721 0.585676
0.254433 0.289484 0.580659
0.345506 0.307917 0.703657
0.365406 0.297079 0.727348
0.446849 0.263667 0.549942
0.44333 0.296009 0.568789
0.361276 0.329249 0.733075
0.267541 0.327852 0.670619
0.441667 0.318942 0.755464
0.451945 0.315302 0.762831
0.447473 0.248599 0.70928
0.443139 0.240592 0.703461
0.53182 0.292548 0.750216
0.518629 0.247704 0.459875
0.544049 0.258364 0.566223
0.48378 0.226429 0.51386
0.380063 0.245737 0.394618
0.272258 0.313245 0.606719
0.260433 0.299937 0.576203
0.393331 0.297614 0.64615
0.408574 0.291725 0.630631
0.405749 0.303421 0.696284
0.43636 0.284658 0.57239
0.348445 0.301311 0.624473
0.38226 0.307295 0.59115
0.265761 0.324638 0.64896
0.263424 0.300549 0.651
0.517235 0.25606 0.731342
0.488152 0.214205 0.6863
0.458346 0.232522 0.681325
0.49592 0.305941 0.742649
0.53298 0.270462 0.512792
0.46245 0.219264 0.50136
0.514352 0.306946 0.761505
0.501382 0.30764 0.772047
0.24107 0.311468 0.605131
0.331325 0.293548 0.696351
0.379526 0.297645 0.717754
0.400732 0.299453 0.737713
0.391196 0.289507 0.647091
0.41875 0.268876 0.572063
0.321426 0.296477 0.654192
0.421823 0.299112 0.553859
0.278352 0.295525 0.625128
0.465886 0.220552 0.680604
0.476474 0.214416 0.68222
0.461888 0.213443 0.670781
0.535361 0.218333 0.47703
0.480215 0.222708 0.506138
0.589399 0.292129 0.619625
0.601076 0.293723 0.680997
0.469256 0.309157 0.785785
0.313238 0.336689 0.746699
0.247344 0.326184 0.651648
0.283975 0.281243 0.589767
0.422716 0.300656 0.646196
0.396948 0.310816 0.713521
0.419909 0.297427 0.680206
0.417269 0.295113 0.671758
0.358472 0.29586 0.631734
0.371777 0.296023 0.593709
0.276749 0.282495 0.650015
0.3461 0.323533 0.739738
0.31316 0.330094 0.727102
0.380962 0.332744 0.770066
0.516051 0.286637 0.545714
0.565202 0.241318 0.493639
0.397577 0.227625 0.577271
0.583727 0.286279 0.563562
0.461095 0.315675 0.786934
0.263687 0.313957 0.608921
0.24674 0.318353 0.635297
0.235543 0.296468 0.600656
0.41011 0.307076 0.684414
0.375933 0.313153 0.750689
0.422495 0.298525 0.6955
0.441701 0.304009 0.688595
0.427225 0.306642 0.664399
0.43917 0.314106 0.728013
0.438006 0.296928 0.551509
0.454649 0.274915 0.482245
