9065 0.0145781
0.550062 0.29838 0.349993
0.514413 0.278875 0.329617
0.365509 0.243699 0.600712
0.506319 0.269889 0.328335
0.573287 0.229957 0.63395
0.600058 0.256934 0.605648
0.262501 0.280805 0.633898
0.297771 0.258737 0.634778
0.503446 0.252628 0.358423
0.348524 0.251369 0.687374
0.232895 0.284048 0.567101
0.25319 0.283391 0.441834
0.510933 0.259448 0.353784
0.511024 0.207085 0.380942
0.414673 0.2371 0.704482
0.293887 0.235956 0.553563
0.461149 0.221971 0.65309
0.332998 0.19691 0.537555
0.535289 0.262379 0.499163
0.248178 0.278549 0.46465
0.245891 0.282918 0.459559
0.265179 0.245972 0.468571
0.484416 0.275671 0.42351
0.502633 0.206955 0.392061
0.249236 0.277067 0.575196
0.339995 0.241517 0.567318
0.555732 0.293264 0.357134
0.518906 0.211207 0.394926
0.293055 0.291995 0.316092
0.462973 0.244786 0.360893
0.329062 0.256326 0.576984
0.419891 0.2513 0.521087
0.459414 0.258334 0.339086
0.584025 0.253152 0.441968
0.248603 0.286533 0.486317
0.404142 0.252752 0.554823
0.452584 0.264958 0.496542
0.45531 0.253609 0.342423
0.543924 0.254573 0.53347
0.54607 0.294251 0.375496
0.443326 0.299597 0.252275
0.228894 0.283721 0.495427
0.342223 0.202525 0.407468
0.255932 0.277321 0.614407
0.483027 0.281826 0.393658
0.500212 0.250684 0.332922
0.506909 0.274935 0.326227
0.535741 0.243054 0.588996
0.515084 0.230601 0.421716
0.501586 0.243271 0.562501
0.43568 0.233947 0.692814
0.496689 0.188917 0.641743
0.390506 0.237595 0.297405
0.29199 0.249199 0.476608
0.316643 0.258872 0.594387
0.321966 0.253003 0.611214
0.368556 0.238702 0.676076
0.561504 0.278745 0.427405
0.500674 0.254819 0.334103
0.521509 0.257774 0.504948
0.551423 0.234345 0.39425
0.411202 0.241546 0.671133
0.537554 0.237799 0.358176
0.320332 0.260724 0.681054
0.309723 0.261941 0.595296
0.351048 0.254262 0.618079
0.383878 0.245102 0.593259
0.45379 0.25676 0.501275
0.523012 0.262362 0.34935
0.518268 0.266874 0.333779
0.539537 0.243455 0.350942
0.551961 0.219292 0.668706
0.441682 0.192513 0.436545
0.506291 0.232147 0.447797
0.625113 0.248378 0.699089
0.528309 0.237134 0.705997
0.457953 0.234598 0.698336
0.237077 0.28396 0.513675
0.301225 0.257872 0.608995
0.463029 0.250015 0.483664
0.539457 0.243709 0.590436
0.536726 0.266516 0.353157
0.613724 0.254577 0.635735
0.539992 0.239693 0.369131
0.590774 0.244018 0.696743
0.536891 0.221821 0.682093
0.637963 0.254887 0.673357
0.38367 0.243435 0.706399
0.251695 0.278248 0.605156
0.260759 0.270688 0.591911
0.319295 0.255454 0.625229
0.396906 0.243806 0.478612
0.474107 0.24039 0.375954
0.588439 0.234551 0.656998
0.619658 0.25471 0.647541
0.595636 0.255209 0.586335
0.542778 0.213369 0.650835
0.585621 0.160852 0.497154
0.378572 0.24563 0.695922
0.295469 0.240922 0.514525
0.465613 0.201238 0.676827
0.448272 0.190997 0.64582
0.481436 0.197854 0.645255
0.583679 0.24088 0.685086
0.613647 0.24764 0.687164
0.57909 0.242538 0.408194
0.544314 0.215543 0.392664
0.617063 0.26862 0.510786
0.326682 0.207836 0.47273
0.233713 0.282635 0.517256
0.262568 0.280559 0.442093
0.29953 0.25118 0.613739
0.476463 0.202571 0.659475
0.461608 0.201663 0.65959
0.543776 0.256446 0.356981
0.464385 0.202565 0.40676
0.599047 0.279035 0.417671
0.596562 0.241879 0.668203
0.355789 0.196598 0.572349
0.255243 0.270338 0.575562
0.247036 0.278152 0.572569
0.22302 0.287274 0.513801
0.249564 0.275011 0.448123
0.466571 0.193007 0.663553
0.479923 0.195471 0.64047
0.507005 0.269221 0.339947
0.604467 0.24547 0.699474
0.544428 0.23942 0.379195
0.371562 0.258866 0.464647
0.528526 0.161994 0.422317
0.28879 0.257842 0.579694
0.291228 0.245668 0.601315
0.43467 0.219455 0.693389
0.389791 0.206029 0.650429
0.539919 0.288386 0.371268
0.621226 0.256172 0.656636
0.386501 0.17079 0.48193
0.427835 0.272318 0.437434
0.448623 0.198898 0.644952
0.588435 0.260044 0.52775
0.522186 0.268352 0.373557
0.2864 0.262969 0.461282
0.438023 0.253856 0.425898
0.428791 0.245809 0.434476
0.37314 0.238134 0.46962
0.485184 0.242478 0.348441
0.526691 0.29122 0.366508
0.573024 0.240669 0.638766
0.281146 0.262601 0.457627
0.303699 0.244973 0.51363
0.393549 0.235144 0.478979
0.455672 0.2422 0.364633
0.492626 0.250782 0.328782
0.539824 0.289883 0.354649
0.583635 0.251975 0.443422
0.571828 0.239754 0.416091
0.504852 0.230354 0.406088
0.497644 0.24467 0.597532
0.341728 0.199491 0.548932
0.252162 0.282202 0.479345
0.313206 0.254486 0.605104
0.359863 0.25627 0.556265
0.408801 0.245273 0.53322
0.45278 0.236675 0.368242
0.482877 0.288859 0.36807
0.531647 0.254262 0.565687
0.55405 0.233586 0.506074
0.461018 0.221307 0.408462
0.489398 0.243636 0.641762
0.466493 0.187574 0.579217
0.503002 0.245551 0.527918
0.273215 0.27738 0.443919
0.374644 0.250893 0.525958
0.412037 0.247257 0.518473
0.384685 0.245863 0.580051
0.474087 0.286655 0.368301
0.501024 0.256137 0.340751
0.535844 0.238199 0.534958
0.531668 0.240701 0.620339
0.446078 0.210152 0.424247
0.509852 0.244015 0.645549
0.480466 0.23086 0.670656
0.508926 0.235072 0.671622
0.675869 0.25836 0.504308
0.261777 0.273857 0.450522
0.337162 0.259452 0.571216
0.385859 0.251995 0.599851
0.446165 0.244533 0.443034
0.441546 0.258869 0.499927
0.343909 0.255881 0.657862
0.529779 0.222677 0.606689
0.534168 0.240261 0.636679
0.413485 0.237074 0.685398
0.52515 0.250408 0.581709
0.443145 0.197383 0.602747
0.45185 0.188104 0.571928
0.529703 0.23774 0.654972
0.275956 0.278213 0.648111
0.253488 0.284858 0.514738
0.327133 0.255208 0.594409
0.379508 0.25088 0.626034
0.366716 0.240963 0.469813
0.464914 0.251058 0.452041
0.369 0.269419 0.462108
0.510006 0.252742 0.344049
0.260646 0.273104 0.56988
0.529348 0.246374 0.606163
0.414607 0.234783 0.689037
0.438068 0.230665 0.689887
0.449232 0.189934 0.593691
0.589334 0.253007 0.498531
0.562296 0.228957 0.357799
0.282189 0.262221 0.453722
0.351979 0.261022 0.573916
0.373716 0.25499 0.591005
0.335903 0.242681 0.611184
0.415305 0.24635 0.460878
0.360731 0.257817 0.484907
0.530755 0.2082 0.674573
0.255813 0.266596 0.507206
0.350898 0.252041 0.676886
0.527284 0.255846 0.339803
0.533849 0.201727 0.641451
0.562107 0.272363 0.410917
0.463804 0.205837 0.414814
0.483531 0.179346 0.554795
0.246529 0.279402 0.542082
0.24441 0.275886 0.546772
0.284365 0.288923 0.436609
0.382411 0.25266 0.588581
0.376473 0.242895 0.515266
0.403713 0.246941 0.463682
0.551659 0.263773 0.365637
0.542284 0.284507 0.375341
0.501523 0.257416 0.504887
0.511265 0.248066 0.600449
0.563874 0.277368 0.419669
0.557042 0.235506 0.502778
0.557907 0.257544 0.468508
0.494957 0.173029 0.603622
0.251775 0.280094 0.54703
0.245685 0.281404 0.597807
0.326289 0.249436 0.566047
0.296539 0.242012 0.571956
0.347887 0.243311 0.582689
0.410757 0.249347 0.495966
0.397043 0.256187 0.470834
0.531985 0.24558 0.643357
0.537353 0.238683 0.565007
0.602096 0.282746 0.418955
0.454737 0.268684 0.426231
0.541976 0.295426 0.358896
0.29058 0.282464 0.510128
0.506834 0.200719 0.530524
0.235129 0.280907 0.561171
0.228389 0.286326 0.529699
0.315199 0.246025 0.540843
0.330177 0.255155 0.623424
0.445654 0.22613 0.661031
0.402553 0.246242 0.578215
0.414716 0.243123 0.449578
0.409042 0.270276 0.439234
0.494633 0.254105 0.552207
0.536939 0.241679 0.361219
0.572677 0.242036 0.674424
0.647473 0.258602 0.663702
0.637997 0.178535 0.502616
0.555999 0.304871 0.226331
0.485502 0.222435 0.397235
0.236223 0.286286 0.503297
0.243973 0.285328 0.475782
0.33041 0.256102 0.617845
0.313804 0.25611 0.624016
0.476277 0.198721 0.662463
0.343915 0.27445 0.561212
0.331737 0.254896 0.498089
0.531403 0.262057 0.339251
0.528324 0.265265 0.486773
0.648155 0.240466 0.318321
0.434922 0.203021 0.337329
0.547784 0.245596 0.265934
0.295639 0.287454 0.443512
0.284278 0.288244 0.432691
0.327313 0.255421 0.640953
0.337731 0.249747 0.655004
0.478159 0.200232 0.646732
0.345478 0.282347 0.462956
0.374681 0.272943 0.495724
0.545699 0.271586 0.365481
0.270567 0.250556 0.513169
0.674264 0.249132 0.329957
0.341951 0.215078 0.595092
0.334132 0.201713 0.49793
0.274552 0.267653 0.444751
0.294261 0.24329 0.494895
0.460424 0.212324 0.676718
0.464362 0.185537 0.64314
0.386688 0.250276 0.511659
