9065 0.0145781
0.418188 0.329121 0.206815
0.46287 0.31022 0.209209
0.358173 0.350113 0.218146
0.447817 0.310768 0.210789
0.481482 0.314144 0.208199
0.514662 0.304611 0.211012
0.168564 0.539172 0.395151
0.280567 0.428088 0.237177
0.405068 0.364986 0.192471
0.175093 0.627613 0.522849
0.201125 0.519428 0.319107
0.269787 0.461333 0.239435
0.400962 0.40336 0.17871
0.517732 0.352679 0.186292
0.167441 0.586286 0.433999
0.263832 0.435176 0.250071
0.368304 0.393585 0.194225
0.335426 0.493491 0.191346
0.432978 0.423054 0.16565
0.214865 0.500477 0.297133
0.253514 0.4918 0.251866
0.290706 0.500899 0.219604
0.389452 0.421224 0.177589
0.455839 0.397996 0.169699
0.226998 0.55059 0.287056
0.382831 0.44319 0.175251
0.423219 0.45059 0.162265
0.466413 0.455498 0.155308
0.346735 0.449774 0.189461
0.397713 0.425705 0.174509
0.296259 0.312206 0.287003
0.317779 0.308504 0.271132
0.40238 0.294218 0.234794
0.502426 0.26478 0.241193
0.17354 0.444387 0.387661
0.326729 0.314228 0.259661
0.380812 0.313618 0.229314
0.406227 0.305879 0.224648
0.459615 0.286319 0.22615
0.491671 0.285925 0.224549
0.30797 0.706414 0.70106
0.189252 0.425943 0.357787
0.401253 0.784331 0.6652
0.155415 0.528095 0.44832
0.401741 0.290092 0.241965
0.446289 0.286871 0.233709
0.442864 0.298982 0.21993
0.489275 0.271106 0.243036
0.518909 0.28246 0.227208
0.550619 0.266106 0.244822
0.576797 0.28997 0.231887
0.614848 0.28693 0.249253
0.338264 0.72768 0.704482
0.224586 0.397551 0.310426
0.278525 0.367294 0.264402
0.261897 0.383182 0.272613
0.319456 0.354956 0.238491
0.431191 0.297436 0.227453
0.471512 0.284145 0.232193
0.496997 0.296923 0.221253
0.517579 0.310297 0.212564
0.562719 0.285975 0.233374
0.567393 0.302283 0.223607
0.163721 0.593176 0.524507
0.301563 0.356402 0.25077
0.311523 0.354991 0.243988
0.354977 0.338814 0.226687
0.397804 0.324696 0.22112
0.441457 0.316104 0.212818
0.479633 0.312096 0.214166
0.529495 0.301872 0.218409
0.546994 0.302677 0.218595
0.584261 0.312641 0.222414
0.604654 0.309279 0.234296
0.649596 0.304445 0.258096
0.217304 0.667858 0.619799
0.181059 0.625266 0.570287
0.187238 0.476443 0.34509
0.303937 0.378333 0.237784
0.373513 0.342659 0.215009
0.421438 0.329213 0.209548
0.445545 0.331099 0.200354
0.476029 0.325253 0.19906
0.526078 0.313424 0.215576
0.557168 0.31147 0.217034
0.598338 0.310661 0.236837
0.611802 0.317203 0.231571
0.158711 0.573591 0.478114
0.172556 0.497352 0.377027
0.159895 0.556982 0.441309
0.277954 0.402981 0.247931
0.374501 0.339077 0.222133
0.402523 0.339798 0.208301
0.460535 0.341361 0.195226
0.462078 0.356817 0.18376
0.511677 0.32307 0.204206
0.549957 0.349647 0.199303
0.564922 0.350625 0.217422
0.170704 0.505287 0.382151
0.233702 0.445634 0.280075
0.31899 0.382775 0.229133
0.328134 0.389998 0.219008
0.345084 0.404688 0.201234
0.460443 0.33797 0.199692
0.476422 0.336749 0.197615
0.502866 0.348614 0.187643
0.560353 0.327832 0.206828
0.568709 0.33865 0.211634
0.588021 0.356724 0.245926
0.188369 0.47974 0.342323
0.226512 0.457847 0.289278
0.275742 0.425405 0.242658
0.333967 0.385174 0.222555
0.352526 0.406679 0.196811
0.43167 0.371622 0.182338
0.486866 0.367215 0.18116
0.511109 0.345978 0.191986
0.532095 0.363994 0.189639
0.520466 0.381737 0.203898
0.172612 0.508053 0.380439
0.193977 0.491626 0.331455
0.216946 0.472829 0.296217
0.234265 0.477402 0.273582
0.308519 0.448817 0.212796
0.36778 0.400477 0.193562
0.401734 0.412645 0.178358
0.454339 0.382613 0.178427
0.50982 0.368204 0.183187
0.525687 0.375364 0.190608
0.535612 0.372362 0.199184
0.542304 0.369846 0.212083
0.278411 0.449253 0.235385
0.313953 0.429715 0.215347
0.370438 0.41529 0.191835
0.422286 0.39212 0.183107
0.481631 0.38495 0.180464
0.505606 0.378262 0.192125
0.53396 0.368799 0.190457
0.352363 0.410308 0.200641
0.455483 0.411806 0.169649
0.409113 0.394437 0.188249
0.2339 0.304363 0.384767
0.319659 0.269583 0.30829
0.323808 0.272993 0.300535
0.369397 0.279608 0.261838
0.427502 0.25703 0.259012
0.455359 0.235289 0.275698
0.483721 0.223161 0.286619
0.239842 0.327162 0.343658
0.254675 0.318727 0.328886
0.351242 0.263741 0.289245
0.396869 0.254839 0.273183
0.419031 0.27016 0.249223
0.470385 0.256769 0.250263
0.50562 0.249207 0.257848
0.503439 0.229367 0.282673
0.542827 0.234969 0.275714
0.556445 0.243149 0.269294
0.362305 0.738698 0.700761
0.15577 0.469857 0.448671
0.285439 0.306464 0.303092
0.304556 0.305782 0.284885
0.339242 0.293469 0.268095
0.405254 0.285004 0.240978
0.414006 0.271682 0.253494
0.467597 0.250327 0.259876
0.489015 0.241082 0.273113
0.529308 0.237239 0.276085
0.542504 0.241929 0.273977
0.574849 0.233528 0.294641
0.603236 0.24441 0.286749
0.210432 0.381165 0.344366
0.300417 0.300361 0.297182
0.312953 0.303957 0.282923
0.343623 0.299734 0.263032
0.40984 0.261609 0.265959
0.429117 0.279732 0.241137
0.4584 0.253473 0.264562
0.490055 0.263792 0.251125
0.52624 0.259223 0.251374
0.536832 0.258621 0.258451
0.576685 0.254651 0.263865
0.621985 0.274535 0.262781
0.4567 0.824093 0.594252
0.207664 0.391351 0.341959
0.285317 0.323195 0.289677
0.332286 0.322386 0.249811
0.370508 0.280089 0.270183
0.38457 0.291029 0.251546
0.445049 0.263147 0.261335
0.461969 0.271253 0.251951
0.485089 0.249931 0.268765
0.525015 0.256764 0.265763
0.536502 0.266297 0.250042
0.589961 0.271191 0.256218
0.605464 0.266497 0.268724
0.63631 0.285703 0.263847
0.157965 0.555938 0.5385
0.153112 0.519768 0.463648
0.266971 0.361577 0.279372
0.326381 0.329271 0.250122
0.362915 0.296973 0.259482
0.382786 0.300233 0.245345
0.42548 0.273327 0.259826
0.468983 0.285443 0.23456
0.491185 0.271561 0.251657
0.522174 0.278313 0.240806
0.565159 0.271117 0.252384
0.590573 0.277851 0.254495
0.600033 0.268378 0.268231
0.667592 0.305018 0.268445
0.244367 0.67321 0.663743
0.219749 0.403345 0.314498
0.285649 0.350195 0.270584
0.313115 0.337949 0.254809
0.357047 0.31572 0.246934
0.416278 0.298911 0.2407
0.415871 0.302451 0.233414
0.479118 0.287398 0.237833
0.508278 0.276184 0.250083
0.539367 0.275654 0.248008
0.549947 0.292198 0.232396
0.588566 0.297951 0.237341
0.644093 0.301267 0.256224
0.673168 0.315828 0.266255
0.728784 0.357247 0.279411
0.167567 0.485016 0.395934
0.166981 0.492039 0.3939
0.212885 0.428803 0.313297
0.307638 0.343153 0.260145
0.367684 0.32753 0.235497
0.411295 0.307672 0.234843
0.442888 0.305884 0.223127
0.469361 0.316719 0.216427
0.506393 0.310617 0.221786
0.516359 0.297218 0.231746
0.552268 0.295052 0.236644
0.610563 0.298692 0.243268
0.617056 0.311867 0.242145
0.659433 0.3238 0.263709
0.15463 0.548934 0.488032
0.156215 0.535541 0.447818
0.257829 0.395183 0.276008
0.261792 0.409289 0.262278
0.359889 0.330973 0.237157
0.403731 0.311165 0.235939
0.416882 0.329799 0.214816
0.462488 0.303137 0.228329
0.485226 0.301277 0.229532
0.520811 0.328461 0.200531
0.582769 0.317039 0.235711
0.610983 0.318808 0.239833
0.623519 0.321818 0.248878
0.744089 0.404137 0.273202
0.159279 0.522476 0.438589
0.184068 0.471483 0.359417
0.238072 0.412913 0.288248
0.281828 0.390574 0.254422
0.324499 0.371634 0.234925
0.359522 0.363764 0.215947
0.406045 0.358448 0.202089
0.486247 0.320787 0.217095
0.49766 0.320495 0.214649
0.524222 0.323608 0.20959
0.553214 0.329472 0.208298
0.600197 0.327602 0.225534
0.613263 0.337676 0.243815
0.661594 0.350316 0.289211
0.720817 0.392334 0.25834
0.196261 0.46689 0.334995
0.205693 0.458013 0.321042
0.29237 0.385347 0.252564
0.291318 0.405042 0.242175
0.380605 0.366662 0.208319
0.418633 0.346517 0.204963
0.470122 0.346083 0.20121
0.487913 0.363284 0.186153
0.540659 0.345149 0.201822
0.582919 0.340594 0.232837
0.586908 0.349546 0.243219
0.612254 0.342959 0.251857
0.206262 0.450852 0.331677
0.236747 0.4399 0.286803
0.302561 0.396071 0.241939
0.308775 0.394907 0.23805
0.341398 0.393041 0.215564
0.424836 0.355262 0.200819
0.46414 0.351284 0.198177
0.495571 0.367993 0.185669
0.552098 0.341306 0.211198
0.56285 0.342453 0.219897
0.583477 0.359694 0.261947
0.598908 0.357201 0.255165
0.260698 0.423742 0.265065
0.263547 0.426776 0.260244
0.324817 0.401947 0.222511
0.385155 0.379303 0.200123
0.390858 0.382414 0.196348
0.47582 0.354348 0.196601
0.497874 0.371025 0.186202
0.517242 0.354927 0.198996
0.561226 0.355447 0.229304
0.300435 0.415046 0.234985
0.363041 0.375665 0.218547
0.423505 0.373382 0.191312
0.455978 0.362457 0.194975
0.509244 0.363443 0.194056
0.550439 0.353451 0.217559
0.567585 0.356846 0.234104
0.466252 0.376789 0.187381
0.369999 0.206923 0.360031
0.388614 0.214489 0.331863
0.460581 0.192874 0.337207
0.482205 0.190027 0.338693
0.540916 0.190404 0.342397
0.303122 0.249747 0.354985
0.353281 0.210664 0.368954
0.397365 0.214508 0.325907
0.416057 0.208652 0.330377
0.452985 0.210094 0.309905
0.494182 0.208693 0.308725
0.529874 0.199842 0.328335
0.561572 0.200482 0.33003
0.610338 0.204311 0.35062
0.235024 0.297007 0.39532
0.338905 0.242453 0.326545
0.358062 0.232644 0.324614
0.406022 0.224122 0.306538
0.43842 0.222498 0.299436
0.461476 0.210662 0.310094
0.502812 0.211328 0.315936
0.525294 0.212573 0.305724
0.559843 0.202985 0.330483
0.565292 0.21056 0.315534
0.602739 0.211685 0.330573
0.167905 0.407099 0.444013
0.197391 0.367848 0.385298
0.271564 0.280743 0.351266
0.309793 0.271052 0.316204
