9065 0.0145781
0.545258 0.295242 0.371045
0.509174 0.272566 0.347928
0.363124 0.246881 0.600309
0.501194 0.263465 0.345411
0.56993 0.231553 0.631357
0.594457 0.260613 0.604091
0.25477 0.286133 0.628528
0.292688 0.261513 0.631002
0.49877 0.249437 0.373298
0.347221 0.249679 0.683553
0.227352 0.293307 0.571467
0.249702 0.286343 0.456789
0.506157 0.255892 0.369302
0.506554 0.204282 0.391845
0.414954 0.235702 0.701473
0.28907 0.24108 0.557473
0.46038 0.222716 0.650953
0.329016 0.199887 0.542211
0.532798 0.271429 0.504086
0.243715 0.283154 0.477989
0.241664 0.287218 0.473633
0.260447 0.249567 0.479319
0.481878 0.279633 0.437246
0.498137 0.205064 0.402574
0.242472 0.286543 0.578048
0.336315 0.246337 0.569638
0.550863 0.291386 0.377456
0.514552 0.209369 0.405386
0.287931 0.284298 0.333105
0.458438 0.242136 0.375258
0.325014 0.261934 0.578041
0.417238 0.257214 0.525894
0.454584 0.253784 0.355045
0.578993 0.256135 0.451605
0.244104 0.293062 0.49845
0.401622 0.257363 0.557186
0.450643 0.271475 0.500224
0.450525 0.249351 0.357915
0.539917 0.264101 0.537052
0.5416 0.293395 0.394829
0.43685 0.285161 0.268795
0.223379 0.290798 0.50839
0.337316 0.202224 0.418432
0.248094 0.285062 0.612043
0.479925 0.285081 0.410117
0.495248 0.244753 0.347882
0.501718 0.268263 0.343945
0.533509 0.248294 0.588559
0.510966 0.231718 0.431741
0.499562 0.248765 0.563593
0.434796 0.232746 0.691113
0.495077 0.188791 0.640535
0.384679 0.230181 0.311514
0.287653 0.253564 0.486952
0.311845 0.263879 0.593883
0.317569 0.256492 0.609698
0.367316 0.238049 0.673364
0.556689 0.283356 0.439784
0.495705 0.249029 0.349464
0.518337 0.265391 0.510153
0.547224 0.232926 0.405743
0.410589 0.242031 0.668799
0.533031 0.233532 0.371545
0.31894 0.257969 0.676144
0.304791 0.267405 0.59466
0.347913 0.256335 0.616333
0.381887 0.249133 0.593426
0.452353 0.262656 0.506883
0.518119 0.258085 0.36521
0.513188 0.260856 0.350409
0.53491 0.23855 0.364855
0.549675 0.218381 0.665325
0.437222 0.193148 0.445061
0.502584 0.235049 0.456437
0.621859 0.243278 0.691899
0.525118 0.234986 0.700473
0.456737 0.232619 0.695128
0.231554 0.291962 0.524457
0.295801 0.262671 0.607366
0.460854 0.256286 0.490874
0.537032 0.249113 0.589951
0.531818 0.26256 0.369409
0.60825 0.256285 0.630983
0.535601 0.236482 0.382238
0.5873 0.240348 0.691223
0.534741 0.220471 0.678701
0.633974 0.251376 0.667906
0.381714 0.241522 0.703807
0.243653 0.287228 0.604634
0.253777 0.278944 0.592283
0.315025 0.25843 0.622542
0.394096 0.248736 0.487117
0.469744 0.238952 0.389723
0.584628 0.234425 0.652945
0.614557 0.254437 0.642674
0.589607 0.259367 0.585615
0.540668 0.213599 0.648363
0.582308 0.160173 0.502597
0.377605 0.244287 0.693071
