9065 0.0145781
0.514444 0.254037 0.434074
0.465764 0.231782 0.415269
0.406679 0.286276 0.717138
0.454493 0.223753 0.413123
0.589754 0.26546 0.688913
0.602877 0.288066 0.654325
0.26195 0.348665 0.706971
0.3145 0.321818 0.720562
0.455455 0.215823 0.439076
0.324991 0.330858 0.751344
0.235971 0.339616 0.664139
0.21251 0.334696 0.550578
0.464533 0.220267 0.433122
0.451442 0.18164 0.466859
0.431858 0.309606 0.78067
0.31421 0.274648 0.675237
0.515 0.275161 0.731182
0.347143 0.230442 0.658985
0.526156 0.272391 0.561638
0.213169 0.326203 0.569805
0.208079 0.334579 0.563299
0.242169 0.285857 0.594521
0.472973 0.262845 0.508486
0.444321 0.186308 0.477418
0.252528 0.325438 0.665994
0.36839 0.279814 0.689142
0.522381 0.254253 0.439526
0.46635 0.187129 0.471908
0.245625 0.276792 0.441732
0.411837 0.221238 0.456805
0.350082 0.300307 0.693306
0.437919 0.281572 0.631662
0.406938 0.228039 0.438056
0.562045 0.239564 0.496829
0.214617 0.338202 0.585134
0.423677 0.289024 0.668187
0.458006 0.281532 0.594196
0.402158 0.225893 0.442906
0.543032 0.2764 0.592041
0.513238 0.260176 0.455546
0.360072 0.245364 0.359056
0.203734 0.350911 0.611449
0.290362 0.226406 0.546146
0.249704 0.348003 0.691497
0.462747 0.262111 0.487047
0.443542 0.20829 0.42012
0.455729 0.227784 0.412096
0.550592 0.276341 0.647323
0.480937 0.2121 0.48696
0.515339 0.273057 0.628057
0.465706 0.30694 0.775488
0.532285 0.217544 0.689155
0.322415 0.20844 0.432896
0.271645 0.287798 0.607075
0.339502 0.303855 0.702432
0.35167 0.300664 0.716675
0.387196 0.305435 0.764232
0.537934 0.266209 0.495259
0.44568 0.212085 0.41983
0.515473 0.273041 0.569888
0.514639 0.20292 0.456923
0.439255 0.308898 0.762265
0.488635 0.197427 0.431114
0.309986 0.335639 0.743461
0.328837 0.308643 0.700343
0.383356 0.300235 0.727591
0.420446 0.290896 0.708707
0.463047 0.27837 0.598406
0.476627 0.22072 0.426854
0.468022 0.221056 0.414652
0.490096 0.200408 0.424069
0.581257 0.264624 0.725054
0.384344 0.207452 0.537745
0.482567 0.223732 0.511427
0.615602 0.300637 0.746075
0.541622 0.303959 0.767366
0.491769 0.303055 0.776969
0.213944 0.342729 0.620602
0.323954 0.306878 0.710502
0.465813 0.262525 0.573925
0.553833 0.276798 0.648035
0.49343 0.22474 0.428188
0.615022 0.289334 0.676516
0.495813 0.201846 0.438657
0.591056 0.29842 0.751707
0.567356 0.277995 0.746426
0.63132 0.292546 0.712544
0.375675 0.326241 0.776975
0.255744 0.329889 0.682879
0.268891 0.322964 0.68395
0.345092 0.310329 0.721854
