9065 0.0145781
0.518032 0.256378 0.419942
0.469313 0.234191 0.402628
0.404237 0.280862 0.710878
0.45782 0.226117 0.40088
0.590173 0.259258 0.680089
0.604736 0.282154 0.644177
0.260252 0.347385 0.704037
0.311699 0.319236 0.716616
0.458396 0.217106 0.427064
0.321154 0.329597 0.747758
0.236449 0.336399 0.661802
0.215203 0.32604 0.540321
0.467655 0.221865 0.420886
0.454044 0.182152 0.456194
0.428793 0.300652 0.773177
0.313439 0.270426 0.669021
0.513531 0.267808 0.723318
0.346891 0.2263 0.651603
0.528421 0.268304 0.550926
0.21568 0.318278 0.561049
0.211009 0.326137 0.554234
0.244001 0.280051 0.585958
0.475229 0.259717 0.496727
0.446824 0.18637 0.466744
0.25189 0.322207 0.662744
0.366703 0.27507 0.682863
0.526019 0.255978 0.425251
0.468929 0.187518 0.461126
0.246734 0.279962 0.424671
0.414246 0.221457 0.444728
0.347533 0.295777 0.688144
0.438384 0.275782 0.624065
0.409444 0.228988 0.425638
0.564901 0.239061 0.484466
0.216519 0.330604 0.578299
0.422776 0.284349 0.662063
0.459059 0.276626 0.584987
0.404581 0.226645 0.430567
0.545406 0.27033 0.581994
0.516868 0.259616 0.441179
0.362595 0.249942 0.348124
0.205836 0.34307 0.605881
0.292337 0.223225 0.535473
0.248357 0.347146 0.689003
0.465239 0.260084 0.474081
0.446561 0.210296 0.408461
0.459116 0.230196 0.399716
0.551717 0.270903 0.638499
0.483398 0.211657 0.475629
0.515645 0.267923 0.619639
0.462613 0.298617 0.768642
0.53222 0.212757 0.681683
0.324564 0.210053 0.420572
0.272516 0.282575 0.599297
0.336748 0.299913 0.697726
0.348715 0.296353 0.711612
0.383067 0.299876 0.757979
0.541417 0.26416 0.482282
0.448743 0.214112 0.408019
0.517021 0.268317 0.559653
0.517466 0.204174 0.445271
0.435857 0.301302 0.75542
0.491704 0.199488 0.419663
0.306887 0.334282 0.740108
0.326119 0.305077 0.696017
0.3801 0.295811 0.722112
0.418301 0.285509 0.702138
0.463929 0.273109 0.58926
0.479935 0.222757 0.414523
0.471459 0.223539 0.402412
0.493277 0.202774 0.412489
0.581164 0.257495 0.716918
0.386152 0.20508 0.527584
0.484767 0.222127 0.500336
0.61409 0.29098 0.738044
0.541301 0.292689 0.758624
0.488147 0.294612 0.769597
0.21534 0.336353 0.616212
0.321482 0.303453 0.705959
0.467129 0.258087 0.564099
0.554958 0.271492 0.639117
0.49682 0.226976 0.415545
0.616943 0.28281 0.666709
0.498832 0.203669 0.427013
0.589673 0.28956 0.744295
0.567058 0.269861 0.738459
0.63192 0.284307 0.703388
0.370326 0.319535 0.770238
0.254491 0.327833 0.680089
0.267436 0.32006 0.680681
0.341713 0.306507 0.717094
0.396672 0.263076 0.592303
0.428814 0.218365 0.453961
0.601349 0.269694 0.701534
0.620448 0.28346 0.674019
0.598796 0.28058 0.628185
0.573979 0.245168 0.69472
0.542509 0.158824 0.559379
0.359021 0.322502 0.766486
0.292978 0.277256 0.634824
0.528289 0.241982 0.732922
0.505605 0.224141 0.709148
