9065 0.0145781
0.355021 0.308051 0.620841
0.355783 0.300783 0.592594
0.36232 0.225101 0.439506
0.362565 0.29705 0.587397
0.430188 0.29823 0.750819
0.477441 0.323746 0.77008
0.174648 0.407113 0.411183
0.283466 0.22981 0.461627
0.374225 0.266321 0.587818
0.19657 0.358952 0.601083
0.194652 0.382463 0.376058
0.274258 0.283115 0.357654
0.362806 0.273472 0.590106
0.460337 0.27468 0.657262
0.172255 0.401011 0.428178
0.268893 0.258959 0.404188
0.369576 0.188044 0.48653
0.476715 0.183191 0.353964
0.302933 0.316024 0.651335
0.249153 0.307482 0.364758
0.262961 0.292245 0.35318
0.281092 0.255693 0.384339
0.304406 0.286862 0.581494
0.459272 0.267882 0.660813
0.206682 0.363268 0.367646
0.368368 0.231587 0.432814
0.345086 0.309636 0.628106
0.458758 0.270651 0.672422
0.408462 0.245687 0.283646
0.368793 0.280578 0.559214
0.283287 0.244576 0.472629
0.344092 0.231229 0.475286
0.363877 0.294366 0.549986
0.456615 0.295325 0.724076
0.218813 0.335029 0.396246
0.338378 0.225762 0.475346
0.306381 0.2632 0.574808
0.371452 0.291618 0.550766
0.309142 0.310953 0.665799
0.331994 0.307501 0.624218
0.461413 0.248894 0.406674
0.238904 0.316033 0.373896
0.468556 0.204148 0.321207
0.179458 0.387664 0.421168
0.295491 0.298671 0.569503
0.384358 0.290145 0.592964
0.364026 0.298664 0.584706
0.292065 0.311212 0.668148
0.454388 0.250394 0.689317
0.362296 0.23661 0.617463
0.308698 0.242861 0.637251
0.404901 0.180209 0.586669
0.46199 0.221042 0.297619
0.269301 0.272555 0.397037
0.287668 0.235823 0.470529
0.27549 0.247528 0.451987
0.337011 0.1931 0.487166
0.329903 0.309469 0.651861
0.37438 0.290594 0.590981
0.297812 0.3149 0.645834
0.419916 0.276794 0.680299
0.247474 0.313976 0.645315
0.402054 0.280802 0.638034
0.179214 0.366919 0.541207
0.305828 0.22266 0.480598
0.333068 0.206072 0.487504
0.358252 0.224014 0.449167
0.33772 0.239203 0.543504
0.367739 0.276745 0.601153
0.361764 0.295315 0.599174
0.396662 0.284407 0.632313
0.330987 0.328667 0.741862
0.471023 0.248066 0.617831
0.44768 0.237183 0.681335
0.408986 0.332671 0.775923
0.28363 0.348108 0.728575
0.226357 0.360558 0.667431
0.221133 0.34062 0.375805
0.316058 0.211184 0.483524
0.350847 0.236516 0.534674
0.285011 0.321551 0.67305
0.368722 0.279541 0.616602
0.464613 0.325438 0.771662
0.402545 0.274799 0.64546
0.367348 0.338569 0.765533
0.306477 0.288036 0.68296
0.450193 0.331901 0.780689
0.170875 0.399785 0.437799
0.180492 0.416814 0.38391
0.180872 0.382775 0.42405
0.282645 0.235993 0.458552
0.345631 0.249645 0.46278
0.385147 0.260414 0.570017
0.437456 0.303688 0.761182
0.461788 0.325635 0.772387
0.463764 0.327716 0.76444
0.320537 0.326362 0.728949
0.595605 0.167067 0.450656
0.172893 0.424546 0.401445
0.268857 0.26602 0.400608
0.363115 0.178863 0.486878
0.401238 0.177024 0.409517
0.390158 0.175829 0.464975
0.386861 0.328731 0.766515
0.414821 0.320615 0.767689
0.470065 0.288592 0.71563
0.462403 0.280359 0.683722
0.515819 0.327422 0.756714
0.485193 0.198878 0.357491
0.220141 0.342325 0.375798
0.269453 0.286562 0.368041
0.274326 0.246098 0.432953
0.375078 0.182024 0.477835
