9065 0.0145781
0.341071 0.210721 0.426139
0.394244 0.176589 0.465065
0.32732 0.368831 0.245417
0.396702 0.178462 0.46211
0.423037 0.169608 0.50957
0.425904 0.188088 0.559911
0.163339 0.435856 0.429568
0.280292 0.435435 0.240483
0.344384 0.225603 0.451687
0.204917 0.337939 0.5816
0.180037 0.441316 0.373403
0.256961 0.452358 0.252867
0.3396 0.234333 0.444549
0.426957 0.234785 0.576558
0.164673 0.401011 0.485574
0.253801 0.438476 0.259204
0.345756 0.415137 0.211537
0.33707 0.463277 0.193518
0.400043 0.174852 0.449335
0.20374 0.440434 0.323786
0.236972 0.45737 0.273345
0.278749 0.448208 0.233912
0.305179 0.267772 0.349405
0.432325 0.229336 0.559071
0.195715 0.464027 0.331056
0.323171 0.355789 0.252762
0.354989 0.202532 0.434953
0.434332 0.224928 0.551451
0.345374 0.480326 0.188797
0.315472 0.247559 0.403861
0.288356 0.36606 0.257555
0.310716 0.3757 0.241191
0.326067 0.24147 0.383573
0.409326 0.219426 0.550264
0.184565 0.397668 0.395784
0.321289 0.388345 0.225811
0.306025 0.27293 0.338382
0.326824 0.23707 0.394612
0.379856 0.180553 0.450644
0.44204 0.16533 0.471491
0.502136 0.26169 0.412748
0.19277 0.425932 0.353568
0.589792 0.367591 0.22343
0.165064 0.408235 0.464876
0.327963 0.258627 0.339555
0.361589 0.192265 0.471654
0.388556 0.183417 0.456468
0.406659 0.170667 0.446374
0.456606 0.208836 0.52536
0.485103 0.188377 0.452058
0.515406 0.181899 0.372556
0.538135 0.195746 0.364508
0.54897 0.345493 0.245908
0.22819 0.400772 0.30582
0.282668 0.407204 0.245716
0.263272 0.412378 0.261716
0.329145 0.422172 0.206778
0.360756 0.193351 0.448396
0.387833 0.179155 0.471397
0.434822 0.16362 0.459683
0.424871 0.166495 0.49761
0.475279 0.172738 0.402111
0.415337 0.165859 0.491392
0.182005 0.361696 0.546391
0.304909 0.400126 0.228625
0.319002 0.411187 0.216345
0.330159 0.376563 0.238341
0.310382 0.282696 0.315999
0.383648 0.189925 0.472457
0.409983 0.170903 0.473534
0.426598 0.16482 0.487516
0.412152 0.171992 0.543711
0.44262 0.238138 0.572412
0.456887 0.226009 0.588264
0.420943 0.179479 0.555855
0.3279 0.258668 0.673182
0.237652 0.305579 0.619327
0.184068 0.435459 0.366086
0.307443 0.413299 0.221967
0.311381 0.287423 0.315598
0.365992 0.197121 0.412007
0.403489 0.177361 0.485209
0.422602 0.187476 0.557863
0.405053 0.171517 0.496928
0.408751 0.186665 0.585826
0.359366 0.183803 0.456754
0.409786 0.190384 0.601206
0.171765 0.384634 0.508551
0.17091 0.450473 0.391968
0.166379 0.401291 0.474696
0.282218 0.425342 0.242518
0.314078 0.339911 0.260707
0.32225 0.236161 0.4453
0.41184 0.173444 0.513908
0.421931 0.186947 0.555984
0.413125 0.199433 0.5946
0.397723 0.184131 0.589653
0.591631 0.245831 0.278806
0.169718 0.434755 0.406087
0.229716 0.429961 0.290836
0.32748 0.434309 0.210703
0.338416 0.44436 0.204162
0.346726 0.431408 0.211394
0.39871 0.179246 0.536214
0.414477 0.171851 0.519698
0.43178 0.223904 0.579991
0.427277 0.232512 0.592118
0.4104 0.204887 0.622303
0.633663 0.374687 0.213468
0.183605 0.437482 0.365769
0.217834 0.449577 0.301889
0.272827 0.437791 0.248169
0.338581 0.428254 0.215927
0.353304 0.416034 0.218671
0.406487 0.176701 0.494083
0.436494 0.230625 0.55513
0.415847 0.224398 0.596632
0.404145 0.171911 0.518185
0.466838 0.314157 0.214182
0.172512 0.431532 0.405345
0.182316 0.457099 0.359963
0.209582 0.462134 0.308689
0.221502 0.458727 0.292391
0.310308 0.450155 0.210244
0.349991 0.431069 0.206706
0.337432 0.240638 0.42902
0.405631 0.178312 0.539826
0.402972 0.172902 0.499842
0.340233 0.2763 0.28359
0.588969 0.303043 0.237266
0.39539 0.333559 0.210639
0.271522 0.438871 0.245161
0.315645 0.442674 0.209283
0.355639 0.449837 0.204792
0.398285 0.187656 0.48029
0.416171 0.194509 0.578292
0.509705 0.272929 0.2422
0.365263 0.248482 0.319116
0.356 0.444176 0.213311
0.422592 0.201788 0.573589
0.345841 0.22642 0.458615
0.238556 0.312636 0.36514
0.29119 0.309139 0.300905
0.294197 0.320828 0.291475
0.31327 0.323718 0.28559
0.358655 0.202178 0.459668
0.412665 0.180173 0.440283
0.382755 0.208918 0.561751
0.241465 0.346163 0.321448
0.254248 0.359342 0.295125
0.302888 0.314945 0.298729
0.321024 0.243168 0.397565
0.33949 0.213173 0.441144
0.439423 0.169553 0.469765
0.415074 0.215916 0.544689
0.424442 0.214918 0.538408
0.456563 0.201138 0.508142
0.471664 0.182644 0.454114
0.624569 0.349601 0.209864
0.176486 0.394657 0.44031
0.275034 0.369656 0.266006
0.294831 0.361519 0.255971
0.315081 0.37068 0.244086
0.325742 0.231872 0.426333
0.348412 0.233326 0.369392
0.411124 0.17393 0.438854
0.439081 0.169789 0.505603
0.46628 0.199017 0.489356
0.489073 0.181946 0.426574
0.519728 0.199821 0.3982
0.495608 0.188046 0.47036
0.216832 0.388191 0.332126
0.290178 0.355869 0.26553
0.305069 0.369069 0.251504
0.321394 0.376492 0.241109
0.346027 0.238552 0.363545
0.388066 0.189449 0.462623
0.356218 0.190618 0.446287
0.413894 0.16948 0.440681
0.460458 0.206691 0.503018
0.480941 0.170243 0.429082
0.495164 0.195636 0.394431
0.506805 0.173696 0.427903
0.70228 0.230045 0.565991
0.214444 0.394718 0.332034
0.282433 0.37871 0.258164
0.329612 0.401164 0.215868
0.322249 0.311956 0.283156
0.313749 0.279184 0.321203
0.359252 0.212887 0.372002
0.342558 0.194182 0.450749
0.404922 0.171776 0.435105
0.481509 0.175927 0.389116
0.462789 0.163154 0.455206
0.536849 0.207821 0.357908
0.542309 0.199611 0.36915
0.479407 0.163735 0.453113
0.188067 0.361455 0.529743
0.177106 0.387905 0.474694
0.269171 0.403642 0.260005
0.329897 0.408532 0.212888
0.319666 0.329496 0.274336
0.311661 0.297118 0.300575
0.388013 0.240231 0.317181
0.381637 0.1844 0.47457
0.386052 0.193558 0.375502
0.43278 0.162333 0.450563
0.501107 0.176429 0.375836
0.516435 0.186466 0.361897
0.547152 0.207811 0.35167
0.447126 0.199852 0.551867
0.420513 0.254094 0.62525
0.223782 0.405066 0.310714
0.288889 0.394549 0.247448
0.31798 0.400553 0.222815
0.32669 0.356461 0.255953
0.347619 0.327376 0.247015
0.361758 0.272534 0.293484
0.339177 0.193996 0.448237
0.400621 0.201562 0.351989
0.426075 0.17572 0.393288
0.394213 0.171832 0.48729
0.408473 0.170898 0.546228
0.458509 0.162106 0.4776
0.451534 0.228133 0.560084
0.461802 0.212127 0.592286
0.180257 0.417727 0.406986
0.177158 0.417983 0.410699
0.214905 0.425282 0.315244
0.313582 0.40042 0.230953
0.323008 0.347657 0.252633
0.329163 0.332327 0.252149
0.391574 0.182518 0.498371
0.384029 0.18614 0.486254
0.337094 0.221322 0.390271
0.323635 0.218254 0.405801
0.315737 0.214574 0.433281
0.403635 0.167033 0.505242
0.312943 0.21163 0.443983
0.40487 0.169424 0.560641
0.185405 0.372676 0.498261
0.168498 0.40064 0.469054
0.257929 0.420263 0.269615
0.258567 0.426766 0.261337
