9065 0.0145781
0.543087 0.304074 0.309903
0.491169 0.278588 0.30329
0.453565 0.234267 0.66207
0.478552 0.267728 0.306579
0.619055 0.235224 0.615678
0.634547 0.262073 0.564606
0.308678 0.254304 0.652108
0.363999 0.248097 0.672808
0.477166 0.247036 0.33817
0.372782 0.254952 0.706071
0.284508 0.252404 0.602589
0.256328 0.273846 0.477571
0.486636 0.255694 0.328523
0.465235 0.198415 0.383197
0.472338 0.252296 0.737108
0.35531 0.220546 0.627189
0.552986 0.234738 0.669039
0.384944 0.190291 0.608796
0.561669 0.270775 0.446632
0.256878 0.260543 0.502133
0.252408 0.26726 0.495003
0.28537 0.229849 0.533846
0.510299 0.276204 0.387802
0.459215 0.200438 0.39332
0.299418 0.248091 0.607843
0.416461 0.227747 0.633553
0.549825 0.300992 0.315428
0.48044 0.203576 0.385103
0.292037 0.279577 0.341063
0.43817 0.242438 0.360395
0.403338 0.240885 0.633884
0.486664 0.248829 0.541854
0.43605 0.257361 0.336391
0.580438 0.257437 0.388554
0.261452 0.265743 0.519492
0.4751 0.244986 0.59129
0.502762 0.26087 0.491726
0.4308 0.252125 0.343729
0.575706 0.263352 0.486733
0.543024 0.297439 0.330938
0.399114 0.306272 0.257237
0.250133 0.260881 0.553048
0.321065 0.203385 0.47875
0.291804 0.255889 0.634876
0.501891 0.283606 0.363112
0.464613 0.244135 0.323186
0.480838 0.273672 0.303128
0.584938 0.251413 0.557472
0.499917 0.226734 0.39001
0.552375 0.249249 0.533793
0.505281 0.251002 0.724783
0.561075 0.189251 0.62724
0.348115 0.224068 0.35259
0.317131 0.234892 0.543041
0.390981 0.240923 0.648322
0.39968 0.240078 0.666333
0.430348 0.243961 0.719272
0.569512 0.288841 0.370441
0.467464 0.249141 0.320735
0.552656 0.267773 0.457353
0.528812 0.227543 0.360604
0.482614 0.253845 0.708639
0.50358 0.229686 0.336419
0.359733 0.254909 0.706462
0.381344 0.242914 0.64562
0.433247 0.242374 0.673771
