9065 0.0145781
0.35378 0.272611 0.611142
0.365227 0.261462 0.58656
0.448063 0.265191 0.33409
0.372226 0.260855 0.580185
0.410075 0.25617 0.678499
0.42129 0.29999 0.738942
0.276384 0.24969 0.408672
0.427018 0.268719 0.260216
0.406443 0.247786 0.534414
0.253534 0.304291 0.65226
0.324541 0.252881 0.342796
0.409092 0.269767 0.256246
0.397404 0.246047 0.537952
0.452005 0.283882 0.61499
0.253726 0.256209 0.474225
0.404925 0.259639 0.27631
0.466229 0.283744 0.248744
0.439996 0.480815 0.201731
0.324981 0.259643 0.610314
0.36493 0.256129 0.310466
0.393972 0.262787 0.2743
0.42512 0.286876 0.234098
0.364518 0.237278 0.511444
0.452984 0.277509 0.614815
0.359599 0.260133 0.302123
0.446215 0.266743 0.349629
0.348852 0.267461 0.611989
0.451335 0.276806 0.622893
0.421303 0.551791 0.239904
0.395566 0.275992 0.539212
0.399837 0.242184 0.319473
0.428228 0.24806 0.323069
0.382657 0.285871 0.554997
0.427846 0.284982 0.664649
0.309478 0.248392 0.384998
0.432441 0.255856 0.304638
0.380681 0.224196 0.471946
0.388786 0.28591 0.553561
0.32091 0.257338 0.621032
0.354088 0.245023 0.596475
0.505871 0.304213 0.397049
0.344588 0.250852 0.335136
0.507303 0.341707 0.24994
0.268609 0.2494 0.447721
0.350567 0.248401 0.530304
0.385103 0.259955 0.582243
0.370372 0.265404 0.582438
0.313594 0.251864 0.616279
0.456748 0.253269 0.631278
0.429562 0.196982 0.534748
0.402475 0.1664 0.52527
0.468922 0.164647 0.455919
0.495736 0.37402 0.256705
0.37511 0.248316 0.31919
0.417339 0.257111 0.291348
0.406498 0.254228 0.296796
0.447327 0.283223 0.235723
0.337107 0.259304 0.617865
0.383436 0.255789 0.575673
0.330376 0.24752 0.600859
0.40486 0.243426 0.63178
0.331089 0.205674 0.57092
0.398123 0.240659 0.607249
0.24429 0.285379 0.60465
0.425342 0.256857 0.285522
0.440509 0.266717 0.262999
0.445806 0.263777 0.324909
0.407009 0.232927 0.429135
0.397773 0.239788 0.555476
0.374607 0.250475 0.582408
0.392496 0.241268 0.605361
0.363106 0.286832 0.723855
0.468395 0.258779 0.587272
0.461306 0.236176 0.631611
0.396795 0.300591 0.7421
0.307319 0.314014 0.725097
0.256656 0.317443 0.672812
