9065 0.0145781
0.461445 0.299158 0.53148
0.461068 0.29451 0.496949
0.410647 0.216582 0.38785
0.465035 0.292057 0.489747
0.481027 0.2592 0.704298
0.518492 0.281098 0.711039
0.306068 0.240356 0.380857
0.354978 0.190401 0.451927
0.448602 0.260608 0.511293
0.265803 0.248178 0.556807
0.320218 0.26198 0.324192
0.363026 0.291594 0.267503
0.444656 0.266643 0.513322
0.502747 0.253133 0.564284
0.295505 0.235208 0.411254
0.362599 0.21737 0.35722
0.405376 0.180565 0.49193
0.502342 0.20687 0.310605
0.409705 0.277453 0.595421
0.349577 0.28993 0.278839
0.352893 0.294656 0.26549
0.354651 0.239366 0.319943
0.396583 0.26595 0.519589
0.498004 0.244221 0.573985
0.319022 0.282208 0.295927
0.419722 0.229813 0.361055
0.454878 0.295904 0.543698
0.497165 0.244023 0.592001
0.463622 0.333624 0.194326
0.45814 0.274121 0.467356
0.358213 0.209408 0.447214
0.402346 0.223391 0.432404
0.466543 0.29132 0.444633
0.50193 0.266104 0.65564
0.343833 0.265057 0.3207
0.394377 0.215144 0.445202
0.376254 0.243486 0.535873
0.470225 0.288828 0.444479
0.411574 0.269688 0.616325
0.441103 0.289805 0.545418
0.541275 0.338622 0.258826
0.345401 0.281886 0.289342
0.513923 0.243699 0.26333
0.310487 0.24094 0.381172
0.399459 0.27471 0.497762
0.475606 0.285441 0.49388
0.466928 0.294374 0.485394
0.386477 0.259999 0.627839
0.483918 0.221224 0.622319
0.400544 0.227624 0.580858
0.346137 0.217523 0.623347
0.42012 0.174939 0.576835
0.519772 0.282475 0.227779
0.36817 0.243369 0.32767
0.35769 0.201238 0.453711
0.358805 0.203835 0.423977
0.374981 0.177818 0.496866
0.437787 0.284279 0.586687
0.469045 0.285325 0.494231
0.40174 0.276447 0.589881
0.480051 0.252181 0.611284
0.314463 0.241627 0.61569
0.477222 0.269006 0.553778
0.269935 0.243503 0.485111
0.35941 0.196095 0.473217
0.374815 0.192185 0.486883
0.406987 0.214342 0.404599
0.395164 0.228153 0.509877
0.450114 0.270036 0.522028
0.462467 0.28871 0.506041
0.477204 0.274242 0.545528
0.408133 0.255582 0.702707
0.508551 0.23024 0.522089
0.473061 0.209689 0.61879
0.462093 0.274366 0.735812
0.369865 0.253985 0.699594
0.298735 0.250378 0.635961
0.334285 0.282969 0.296186
0.35938 0.190055 0.482993
0.408723 0.228854 0.495618
0.383297 0.262794 0.634394
0.452235 0.271777 0.538519
0.509237 0.280887 0.717573
0.47135 0.261064 0.568011
0.427725 0.26954 0.721857
0.371158 0.238071 0.656506
0.495275 0.280068 0.734507
0.291783 0.235246 0.421936
0.313287 0.2519 0.345703
0.311271 0.240259 0.3828
0.357691 0.196445 0.44285
0.419709 0.244626 0.389721
0.454819 0.253609 0.492381
0.485979 0.262344 0.716093
0.507193 0.280504 0.719479
0.510223 0.285805 0.702842
0.404061 0.253552 0.690135
0.607774 0.187582 0.3854
0.302225 0.244842 0.374328
0.367305 0.229433 0.341291
0.397933 0.167298 0.500312
0.439 0.172349 0.402599
0.422332 0.168423 0.471307
0.444356 0.270236 0.723512
0.469057 0.2691 0.72393
0.506975 0.259757 0.639143
0.502673 0.25352 0.600227
0.542033 0.290574 0.676657
0.507802 0.234995 0.297715
0.333943 0.282771 0.296693
0.365649 0.285017 0.278696
0.357758 0.202289 0.400464
0.409493 0.173483 0.487919
0.417432 0.172322 0.435268
0.460751 0.27032 0.550104
0.498876 0.236779 0.547452
0.51458 0.291475 0.629521
0.473717 0.270227 0.719681
0.513494 0.196046 0.355003
0.318922 0.246441 0.35387
0.319996 0.26681 0.315048
0.331447 0.304473 0.26562
0.36165 0.283016 0.275306
0.403708 0.16631 0.468096
0.426305 0.166122 0.466681
0.448707 0.27931 0.495892
0.43795 0.270071 0.721706
0.471788 0.254872 0.585716
0.36411 0.241864 0.406855
0.604538 0.265697 0.272433
0.345636 0.197531 0.474627
0.355786 0.202234 0.395758
0.38348 0.173167 0.469328
0.454423 0.182848 0.359552
0.434371 0.27347 0.542409
0.495737 0.283004 0.714583
0.559188 0.19943 0.348183
0.363748 0.263692 0.47535
0.441737 0.177111 0.40398
0.519629 0.288477 0.683408
0.434507 0.253385 0.530936
0.360008 0.249931 0.332657
0.395476 0.249283 0.433984
0.415657 0.24884 0.41757
0.455524 0.251822 0.371502
0.47037 0.273143 0.49519
0.426913 0.292162 0.527787
0.452734 0.270909 0.693675
0.364456 0.255379 0.318011
0.368823 0.230835 0.34695
0.453663 0.245732 0.397161
0.460063 0.273515 0.462745
0.483845 0.287561 0.482741
0.441982 0.292512 0.532538
0.503527 0.264895 0.657086
0.50121 0.25578 0.642933
0.479274 0.222282 0.594412
0.370569 0.248919 0.594461
0.51045 0.203651 0.328298
0.339241 0.249898 0.345756
0.353658 0.203408 0.434026
0.366962 0.217339 0.439628
0.412667 0.227188 0.411592
0.465524 0.271332 0.467054
0.40794 0.290664 0.481716
0.386108 0.268191 0.613775
0.479233 0.252801 0.669656
0.47478 0.225777 0.530051
0.354652 0.237171 0.613209
0.445454 0.17123 0.568589
0.413292 0.225844 0.573298
0.366762 0.273562 0.296113
0.376244 0.227475 0.407964
0.406126 0.229097 0.415102
0.410505 0.219137 0.401598
0.406765 0.288629 0.471122
0.46003 0.277346 0.499021
0.41618 0.256744 0.631529
0.376668 0.256943 0.631239
0.487231 0.222697 0.537469
0.350392 0.249952 0.620201
0.379315 0.202144 0.598755
0.354061 0.235653 0.630982
0.630015 0.259915 0.602941
0.362149 0.27162 0.294335
0.361998 0.210263 0.455113
0.385998 0.200352 0.473511
0.420025 0.241376 0.44354
0.380127 0.232156 0.521502
0.299243 0.257558 0.55685
0.398162 0.243655 0.643835
0.371692 0.251828 0.637469
0.318313 0.236586 0.619958
0.381837 0.2587 0.617431
0.473275 0.164394 0.458683
0.453969 0.163848 0.535543
0.365192 0.241564 0.639249
0.288858 0.233415 0.433382
0.333613 0.251735 0.366215
0.359429 0.205322 0.438527
0.384264 0.1922 0.48741
0.448078 0.251904 0.363196
0.409891 0.235744 0.480637
0.342804 0.249474 0.458926
0.461081 0.273199 0.510645
0.282724 0.2443 0.511707
0.376956 0.25783 0.625672
0.326756 0.228865 0.618287
0.354895 0.207509 0.60814
0.46321 0.160434 0.484137
0.523171 0.26768 0.677908
0.513572 0.277851 0.561739
0.37006 0.259511 0.309028
0.370105 0.210569 0.454449
0.382201 0.203035 0.466621
0.409624 0.215854 0.368983
0.405336 0.2432 0.410925
0.355567 0.237105 0.420961
0.376422 0.233423 0.662859
0.292337 0.234018 0.465441
0.281112 0.24618 0.561974
0.468487 0.279506 0.52161
0.407086 0.248369 0.69622
0.443437 0.272564 0.594896
0.4948 0.225586 0.55694
0.476998 0.210251 0.682393
0.330371 0.257208 0.340322
0.325992 0.250942 0.348462
0.373279 0.285639 0.285559
0.385335 0.205846 0.454484
0.425305 0.240006 0.37704
0.405548 0.245268 0.398277
0.456158 0.269064 0.559306
0.438111 0.266953 0.548648
0.387561 0.28231 0.567272
0.3614 0.26937 0.610978
0.44365 0.287124 0.589274
0.481493 0.254004 0.669579
0.436775 0.266733 0.621092
0.405155 0.231135 0.689783
0.326911 0.249005 0.381414
0.318733 0.244399 0.368556
0.367845 0.217851 0.390113
0.355376 0.210866 0.387783
0.418095 0.225171 0.371707
0.390811 0.232767 0.42241
0.369345 0.240743 0.429718
0.352173 0.255771 0.641145
0.408853 0.262081 0.636109
0.517509 0.295493 0.627633
0.378645 0.266937 0.482196
0.440643 0.2997 0.534191
0.318411 0.257102 0.449494
0.495373 0.217095 0.671403
0.323485 0.24689 0.363491
0.336591 0.271752 0.314213
0.371401 0.225927 0.363204
0.362392 0.200376 0.435584
0.397362 0.180207 0.495159
0.405272 0.212465 0.424111
0.420757 0.248292 0.405014
0.360005 0.253416 0.453766
0.378532 0.276615 0.575771
0.470285 0.265565 0.555649
0.412624 0.265302 0.714056
0.515364 0.279477 0.738169
0.634607 0.19221 0.402092
0.607915 0.361155 0.217654
0.480928 0.228096 0.567661
0.34031 0.290114 0.285377
0.346425 0.295251 0.28181
0.364243 0.198017 0.44793
0.359617 0.192405 0.459358
0.406107 0.171854 0.502257
0.326334 0.266103 0.535463
0.356976 0.232004 0.390539
0.466018 0.280825 0.52235
0.407532 0.284632 0.585114
0.641674 0.280455 0.276216
0.568499 0.292167 0.2436
0.612237 0.354925 0.215059
0.366228 0.297386 0.289298
0.379047 0.292388 0.278546
0.365156 0.187435 0.471636
0.369725 0.184739 0.475916
0.422397 0.169456 0.463222
0.330132 0.255131 0.459013
0.338187 0.265806 0.474747
0.448593 0.268624 0.551966
0.305347 0.221985 0.467755
0.649962 0.256258 0.298622
0.480193 0.209871 0.333411
0.519167 0.221376 0.311745
0.37441 0.270749 0.29136
0.36948 0.235827 0.332234
0.398445 0.172019 0.500784
0.434582 0.165686 0.427562
0.380633 0.230865 0.410404
0.371899 0.237086 0.385842
0.392194 0.179471 0.508282
0.606609 0.23168 0.303157
0.502334 0.16629 0.395158
0.361163 0.184494 0.475414
0.442599 0.184998 0.385583
0.451055 0.292389 0.549114
0.37419 0.23022 0.400341
0.600184 0.230906 0.300682
0.490091 0.241803 0.268072
0.327082 0.209621 0.440892
0.315741 0.253538 0.465227
0.411528 0.283399 0.511917
0.431975 0.296544 0.493589
0.480017 0.280955 0.66065
0.435072 0.25505 0.689094
0.48198 0.208711 0.51325
0.3759 0.254966 0.466175
0.40484 0.275689 0.527827
0.458973 0.299436 0.478677
0.466973 0.298486 0.487575
0.523993 0.27927 0.67441
0.439315 0.26103 0.684597
0.388648 0.27254 0.573986
0.471289 0.221395 0.65942
0.514403 0.262421 0.731015
0.361839 0.246603 0.340984
0.386885 0.253694 0.529193
0.399175 0.276623 0.513145
0.44288 0.296844 0.493965
0.466729 0.29448 0.47953
0.504668 0.27094 0.643557
0.386088 0.254341 0.587466
0.495672 0.237992 0.66093
0.408217 0.209176 0.588315
0.423099 0.21596 0.566146
0.482756 0.247243 0.71281
0.342714 0.247972 0.340539
0.355935 0.266282 0.309446
0.36946 0.242749 0.341957
0.383252 0.248206 0.397785
0.424446 0.287623 0.473153
0.481063 0.294242 0.466971
0.386787 0.271546 0.605124
0.399728 0.284287 0.560348
0.375123 0.257984 0.611318
0.477983 0.222296 0.589354
0.394793 0.194388 0.590326
0.403488 0.210737 0.591384
0.429154 0.258498 0.580593
0.473553 0.218792 0.647953
0.345072 0.260414 0.661613
0.3522 0.254939 0.3202
0.384775 0.245644 0.358595
0.463292 0.254408 0.366834
0.454874 0.300586 0.465156
0.481285 0.290297 0.45489
0.322097 0.255469 0.616804
0.379793 0.260101 0.632957
0.366377 0.254394 0.611423
0.370527 0.201359 0.602862
0.440314 0.172227 0.579064
0.407587 0.198352 0.595942
0.373561 0.229819 0.621575
0.428737 0.258835 0.61774
0.461072 0.297138 0.493097
0.340457 0.2699 0.308811
0.353695 0.27961 0.311549
0.39556 0.246125 0.37672
0.409562 0.23045 0.486639
0.376952 0.244807 0.488475
0.483947 0.290185 0.480731
0.418126 0.269473 0.619948
0.331908 0.251681 0.633517
0.300028 0.245798 0.595592
